"","P","Alder","B.Ar","EL.Kar","O.Karak_num","BLEnergikWh","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"177",2950000,61,1958,2,2,321.46,1,"Fritt salg","Blokkleilighet",1,"347.7",0,0,0,0,0,0,0,11,"895.0","0.0","895.0","0.0",0,2,3,"69.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-04-04,"4601/158/279/6","4601","158","279","6",139214528,"LØBERGSVEIEN 31","løbergsveien",31,NA,NA,"5054","Boligblokker",399801,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732176.57","-31641.51"
"182",1420000,61,1958,2,2,321.46,1,"Fritt salg","Blokkleilighet",1,"347.7",0,0,0,0,0,0,0,11,"895.0","0.0","895.0","0.0",0,1,2,"20.0",1,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-11-01,"4601/158/279/2","4601","158","279","2",139214528,"LØBERGSVEIEN 31","løbergsveien",31,NA,NA,"5054","Boligblokker",1302555,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732176.57","-31641.51"
"184",2250000,86,1933,2,2,438.43,1,"Fritt salg","Blokkleilighet",1,"247.9",0,0,0,0,0,0,0,6,"406.0","0.0","406.0","0.0",0,1,2,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-13,"4601/158/341/4","4601","158","341","4",139215125,"SYGNAGATEN 9","sygnagaten",9,NA,"H0101","5055","Småhus",930814,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6732071.56","-31743.94"
"186",1950000,86,1933,2,2,438.43,1,"Fritt salg","Blokkleilighet",1,"247.9",0,0,0,0,0,0,0,6,"406.0","0.0","406.0","0.0",0,1,2,"35.0",1,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-15,"4601/158/341/2","4601","158","341","2",139215125,"SYGNAGATEN 9","sygnagaten",9,NA,"H0101","5055","Småhus",551753,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6732071.56","-31743.94"
"225",2400000,80,1939,2,1,420.78,4,"Fritt salg","Tomannsbolig",1,"913.2",0,0,0,0,0,0,0,2,"192.0","0.0","192.0","0.0",0,2,1,"0.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-24,"4601/17/63/2","4601","17","63","2",139413415,"Grønnestølsveien 20 E","grønnestølsveien",20,"E","H0201","5073","Småhus",1117939,"Tomannsbolig, horisontaldelt","Bolig","Bolig","6729964.96","-31877.71"
"248",2450000,11,2008,4,2,202.07,4,"Fritt salg","Blokkleilighet",1,"685.1",0,0,0,0,0,0,0,6,"452.0","0.0","452.0","0.0",0,1,1,"73.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2019,"2019Q3",2019-07-26,"4627/17/591/3","4627","17","591","3",300000677,"DJUPEDALEN 30 A","djupedalen",30,"C","H0101","5310","Småhus",866605,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6741840.72","-41859.98"
"260",2850000,14,2005,3,1,197.63,1,"Fritt salg","Blokkleilighet",1,"12415.3",1,0,0,0,0,0,0,34,"2128.0","0.0","2128.0","0.0",0,5,6,"66.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-08,"4601/216/1150/30","4601","216","1150","30",20787449,"Lønborglien 40","lønborglien",40,NA,"H0305","5039","Boligblokker",522144,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6739543.38","-33040.27"
"298",3250000,8,2011,4,4,151.51,1,"Fritt salg","Uoppgitt",1,"2115.2",0,0,0,0,0,0,0,32,"3785.0","0.0","3785.0","1.0",0,1,2,"69.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-04-23,"4601/120/477/18","4601","120","477","18",25605330,"Vindharpevegen 10","vindharpevegen",8,NA,NA,"5237","Boligblokker",462728,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724234.39","-34345.0"
"304",3280000,8,2011,4,4,151.51,1,"Fritt salg","Blokkleilighet",1,"2115.2",0,0,0,0,0,0,0,32,"3785.0","0.0","3785.0","1.0",0,3,3,"65.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-02-01,"4601/120/477/27","4601","120","477","27",25605330,"Vindharpevegen 10","vindharpevegen",8,NA,NA,"5237","Boligblokker",140993,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724234.39","-34345.0"
"313",2190000,104,1915,1,1,794.52,2,"Fritt salg","Blokkleilighet",1,"165.5",0,0,0,0,0,0,0,10,"353.0","0.0","353.0","0.0",0,1,3,"0.0",0,0,0,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-02-11,"4601/168/490/3","4601","168","490","3",139328019,"Kirkegaten 16","kirkegaten",16,NA,NA,"5036","Boligblokker",174605,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6735946.59","-31603.17"
"325",2100000,89,1930,1,4,444.36,2,"Fritt salg","Annet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,2,5,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q1",2019-02-21,"4601/168/678/21","4601","168","678","21",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",221939,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"326",2300000,89,1930,1,4,444.36,2,"Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,2,9,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q2",2019-05-23,"4601/168/678/17","4601","168","678","17",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",585318,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"339",2100000,89,1930,1,4,444.36,2,"Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,1,3,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q3",2019-09-27,"4601/168/678/14","4601","168","678","14",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",1136880,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"346",2675000,89,1930,1,4,444.36,2,"Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,2,4,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q4",2019-11-06,"4601/168/678/22","4601","168","678","22",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",1325981,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"370",3150000,11,2008,4,1,145.47,1,"Fritt salg","Uoppgitt",1,"5802.5",0,0,0,0,0,0,0,12,"1159.0","0.0","1159.0","0.0",0,1,2,"75.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-01,"4601/140/231/2","4601","140","231","2",25170636,"Leirvikneset 2 A","leirvikneset",2,"A","H0203","5179","Boligblokker",884994,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734005.55","-38875.87"
"371",6490000,11,2008,4,1,145.47,1,"Fritt salg","Blokkleilighet",1,"5802.5",0,0,0,0,0,0,0,12,"1159.0","0.0","1159.0","0.0",0,4,2,"93.0",3,1,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-10,"4601/140/231/12","4601","140","231","12",25170636,"Leirvikneset 2 A","leirvikneset",2,"A","H0203","5179","Boligblokker",532604,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734005.55","-38875.87"
"374",3130000,121,1898,1,1,743.03,4,"Fritt salg","Blokkleilighet",1,"159.9",0,0,0,0,1,0,0,7,"382.0","0.0","382.0","0.0",1,3,3,"47.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-11,"4601/166/762/6","4601","166","762","6",139300491,"Skivebakken 20 A","skivebakken",20,"A","H0201","5018","Boligblokker",1061386,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734265.41","-31436.5"
"378",2450000,119,1900,1,1,394.31,2,"Fritt salg","Annet",1,"275.8",0,0,0,0,0,0,0,7,"451.0","0.0","451.0","0.0",0,1,2,"34.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-11,"4601/167/442/4","4601","167","442","4",139313550,"Ladegårdsgaten 19","ladegårdsgaten",19,NA,NA,"5033","Boligblokker",658012,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6735218.7","-31736.23"
"382",2450000,119,1900,1,1,394.31,2,"Fritt salg","Blokkleilighet",1,"275.8",0,0,0,0,0,0,0,7,"451.0","0.0","451.0","0.0",0,1,1,"32.0",1,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-16,"4601/167/442/2","4601","167","442","2",139313550,"Ladegårdsgaten 19","ladegårdsgaten",19,NA,NA,"5033","Boligblokker",1223136,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6735218.7","-31736.23"
"385",2280000,90,1929,1,1,380.83,4,"Fritt salg","Blokkleilighet",1,"798.7",0,0,0,0,0,0,0,10,"702.0","0.0","702.0","0.0",0,1,3,"47.0",2,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-25,"4601/156/36/3","4601","156","36","3",139636449,"Carl Konows gate 20","carl konows gate",20,NA,"H0103","5162","Boligblokker",1124941,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733565.2","-33028.72"
"394",3750000,88,1931,1,2,661.34,2,"Fritt salg","Blokkleilighet",1,"512.0",0,0,0,0,1,0,0,7,"517.0","0.0","517.0","0.0",0,1,2,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q3",2019-09-10,"4601/166/1002/3","4601","166","1002","3",139710339,"Leitet 1","leitet",1,NA,NA,"5018","Boligblokker",1056228,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6734131.72","-31325.23"
