"","P","Alder","B.Ar","EL.Kar","O.Karak_num","BLEnergikWh","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"2337",1790000,89,1930,3,1,176.85,1,"Fritt salg","Blokkleilighet",1,"573.2",0,0,0,0,1,0,0,21,"1310.0","0.0","1310.0","0.0",0,1,2,"0.0",0,0,0,0,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-22,"4601/167/559/3","4601","167","559","3",139314662,"Nye Sandviksveien 56 C","nye sandviksveien",56,"E","H0101","5032","Boligblokker",581820,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735368.89","-31886.77"
"2341",3125000,89,1930,3,1,176.85,1,"Fritt salg","Blokkleilighet",1,"573.2",0,0,0,0,1,0,0,21,"1310.0","0.0","1310.0","0.0",0,4,3,"0.0",0,0,0,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-22,"4601/167/559/21","4601","167","559","21",139314662,"Nye Sandviksveien 56 C","nye sandviksveien",56,"C","H0101","5032","Boligblokker",972629,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735368.89","-31886.77"
"2346",1425000,89,1930,3,1,176.85,1,"Fritt salg","Blokkleilighet",1,"573.2",0,0,0,0,1,0,0,21,"1310.0","0.0","1310.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-05,"4601/167/559/8","4601","167","559","8",139314662,"Nye Sandviksveien 56 C","nye sandviksveien",56,"D","H0101","5032","Boligblokker",782335,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735368.89","-31886.77"
"2350",5450000,24,1995,3,2,207.82,4,"Fritt salg","Frittliggende enebolig",1,"691.0",0,0,0,0,0,0,0,1,"194.0","0.0","194.0","0.0",0,1,1,"194.0",5,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-07,"4601/142/85/NA","4601","142","85","NA",9545069,"Olsvikskrenten 20","olsvikskrenten",20,NA,"H0101","5184","Småhus",517657,"Enebolig","Bolig","Bolig","6734099.65","-38418.33"
"2354",2785000,71,1948,1,2,334.85,1,"Fritt salg","Blokkleilighet",1,"586.4",0,0,0,0,0,0,0,3,"240.0","0.0","240.0","0.0",0,2,1,"62.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-12-04,"4601/160/414/3","4601","160","414","3",139234146,"Bendixens vei 28","bendixens vei",28,NA,"H0201","5063","Boligblokker",1451764,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6730605.94","-30817.75"
"2355",3300000,42,1977,2,2,289.67,4,"Fritt salg","Rekkehus/kjede",1,"172.6",0,0,0,0,0,0,0,1,"110.0","0.0","110.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-06,"4601/188/182/NA","4601","188","182","NA",139674073,"Hallskaret 73","hallskaret",73,NA,"H0101","5117","Småhus",510972,"Rekkehus","Bolig","Bolig","6742823.43","-32027.93"
"2357",4200000,97,1922,1,1,283.94,2,"Fritt salg","Blokkleilighet",1,"227.9",0,0,0,0,0,0,0,2,"186.0","0.0","186.0","0.0",0,2,1,"100.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-12,"4601/162/675/2","4601","162","675","2",139261666,"Gimleveien 14","gimleveien",14,NA,"H0201","5052","Boligblokker",815672,"Rekkehus","Bolig","Bolig","6731913.15","-30648.95"
"2358",3350000,45,1974,2,3,315.9,4,"Fritt salg","Frittliggende enebolig",1,"969.7",0,0,0,0,0,0,0,1,"0.0","0.0","0.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q3",2019-09-10,"4626/36/425/NA","4626","36","425","NA",175631178,"Grunnavågsvegen 74","grunnavågsvegen",74,NA,"H0101","5354","Småhus",1053417,"Enebolig","Bolig","Bolig","6733968.87","-43522.81"
"2360",5850000,10,2009,5,1,145.95,4,"Fritt salg","Rekkehus/kjede",1,"165.0",0,0,0,0,0,0,0,1,"136.0","0.0","136.0","0.0",0,1,1,"136.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-05,"4601/7/281/NA","4601","7","281","NA",25598539,"Øvre Sædalsvegen 42","øvre sædalsvegen",42,NA,"H0101","5099","Småhus",637074,"Rekkehus","Bolig","Bolig","6728670.11","-29630.57"
"2362",2200000,7,2012,5,1,152.59,4,"Fritt salg","Blokkleilighet",1,"3842.0",0,0,0,0,0,0,0,2,"130.0","0.0","130.0","100.0",0,2,1,"65.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-04-04,"4626/27/100/4","4626","27","100","4",300345595,"Maggevarden 9 B","maggevarden",9,"B","H0201","5363","Småhus",401033,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6738154.23","-49051.9"
"2363",5650000,48,1971,3,3,225.11,4,"Fritt salg","Frittliggende enebolig",1,"1585.2",0,0,0,0,0,0,0,1,"277.0","0.0","277.0","0.0",0,1,1,"0.0",0,0,0,0,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-27,"4601/40/491/NA","4601","40","491","NA",139465024,"Lille Skjolddalen 1","lille skjolddalen",1,NA,"H0101","5222","Småhus",598554,"Enebolig","Bolig","Bolig","6724880.02","-32173.21"
"2377",3570000,7,2012,6,5,102.51,1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,3,1,"59.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-12-27,"4601/158/856/28","4601","158","856","28",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",1548287,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"2382",2400000,7,2012,6,5,102.51,1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,1,6,"38.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-04-04,"4601/158/856/9","4601","158","856","9",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",403304,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"2383",3305000,7,2012,6,5,102.51,1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,2,4,"62.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-09,"4601/158/856/21","4601","158","856","21",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",530087,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"2386",3990000,7,2012,6,5,102.51,1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,4,10,"62.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-11-05,"4601/158/856/47","4601","158","856","47",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",1313704,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"2389",3395000,7,2012,6,5,102.51,1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,3,5,"59.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-02,"4601/158/856/32","4601","158","856","32",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",492488,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"2393",5250000,88,1931,1,2,422.03,2,"Fritt salg","Rekkehus/kjede",3,"183.9",0,0,0,0,0,0,0,2,"182.0","0.0","182.0","0.0",0,2,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-03-27,"4601/159/509/2","4601","159","509","2",139225074,"Inndalsveien 75","inndalsveien",75,NA,"H0101","5063","Småhus",364107,"Rekkehus","Bolig","Bolig","6731073.92","-30931.11"
"2395",5250000,88,1931,1,2,422.03,2,"Fritt salg","Rekkehus/kjede",3,"183.9",0,0,0,0,0,0,0,2,"182.0","0.0","182.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-03-27,"4601/159/509/1","4601","159","509","1",139225074,"Inndalsveien 75","inndalsveien",75,NA,"H0101","5063","Småhus",364107,"Rekkehus","Bolig","Bolig","6731073.92","-30931.11"
"2397",4100000,34,1985,3,3,246.19,4,"Fritt salg","Rekkehus/kjede",1,"199.1",0,0,0,0,0,0,0,1,"114.0","0.0","114.0","0.0",0,1,1,"114.0",4,1,2,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q2",2019-05-10,"4601/20/1137/NA","4601","20","1137","NA",139871022,"Bønesskogen 270","bønesskogen",270,NA,"H0101","5154","Småhus",533005,"Rekkehus","Bolig","Bolig","6728145.19","-34182.21"
"2402",3100000,13,2006,5,1,130.16,1,"Fritt salg","Blokkleilighet",1,"1074.1",0,0,0,0,0,0,0,7,"946.0","0.0","946.0","0.0",0,2,2,"60.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-28,"4601/42/383/5","4601","42","383","5",23608219,"Nesttunbrekka 45","nesttunbrekka",45,NA,NA,"5221","Boligblokker",743855,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6725443.86","-31728.56"
"2403",3450000,11,2008,5,1,155.14,1,"Fritt salg","Blokkleilighet",1,"751.7",0,0,0,0,0,0,0,3,"302.0","0.0","302.0","253.0",0,1,2,"76.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-04-03,"4601/13/893/3","4601","13","893","3",139407695,"Søre Nyhaugåsen 52","søre nyhaugåsen",52,NA,"H0102","5230","Småhus",392930,"Rekkehus","Bolig","Bolig","6729071.29","-31850.02"
"2406",7600000,10,2009,5,5,143.95,2,"Fritt salg","Frittliggende enebolig",1,"2558.5",1,0,0,0,0,0,0,2,"442.0","0.0","442.0","314.0",0,1,1,"43.0",2,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2019,"2019Q2",2019-05-07,"4627/4/1142/NA","4627","4","1142","NA",22992686,"Øvre Skogvegen 36","øvre skogvegen",36,NA,NA,"5306","Småhus",518537,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6741551.08","-36679.78"
"2410",7600000,10,2009,5,5,143.95,2,"Fritt salg","Frittliggende enebolig",1,"2558.5",1,0,0,0,0,0,0,2,"442.0","0.0","442.0","314.0",0,1,1,"399.0",9,3,3,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2019,"2019Q2",2019-05-07,"4627/4/1142/NA","4627","4","1142","NA",22992686,"Øvre Skogvegen 36","øvre skogvegen",36,NA,NA,"5306","Småhus",518537,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6741551.08","-36679.78"
"2414",2200000,19,2000,5,3,145.69,4,"Fritt salg","Frittliggende enebolig",1,"1318.6",0,0,0,0,0,0,0,1,"144.0","0.0","144.0","0.0",0,1,1,"144.0",5,2,2,1,0,"Hovedetasje","Kjøkken",2,"Tilkn. privat vannverk",2,"Privat kloakk",2019,"2019Q2",2019-06-28,"4631/11/108/NA","4631","11","108","NA",19235777,"Hosøyvegen 179","hosøyvegen",179,NA,"H0101","5993","Småhus",745905,"Enebolig","Bolig","Bolig","6766787.97","-24375.65"
"2416",4250000,36,1983,2,2,215.6,1,"Fritt salg","Blokkleilighet",1,"10470.7",1,0,0,0,0,0,0,5,"543.0","0.0","543.0","0.0",0,5,1,"113.0",4,1,1,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q2",2019-06-19,"4601/185/457/5","4601","185","457","5",139774353,"Saudalen 120 E","saudalen",120,"E","H0501","5124","Boligblokker",699465,"Terrassehus","Bolig","Bolig","6744089.6","-33679.81"
"2425",2850000,13,2006,5,1,121.04,1,"Fritt salg","Blokkleilighet",1,"5367.5",1,0,0,0,0,0,0,18,"1474.0","0.0","1474.0","0.0",0,3,3,"72.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-15,"4601/36/536/26","4601","36","536","26",23617242,"Nordeidbrekka 3D","nordeidbrekka",3,"D",NA,"5252","Boligblokker",551656,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6725777.93","-35808.29"
"2428",4500000,3,2016,5,5,122.61,1,"Fritt salg","Blokkleilighet",1,"3554.9",0,0,0,0,0,0,0,15,"1744.0","0.0","1744.0","1.0",0,4,2,"85.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-02-19,"4601/158/62/18","4601","158","62","18",300387775,"Damsgårdsveien 37","damsgårdsveien",37,NA,"H0405","5058","Boligblokker",207515,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732726.89","-31962.67"
"2433",5300000,3,2016,5,5,122.61,1,"Fritt salg","Blokkleilighet",1,"3554.9",0,0,0,0,0,0,0,15,"1744.0","0.0","1744.0","1.0",0,4,3,"85.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-20,"4601/158/62/19","4601","158","62","19",300387775,"Damsgårdsveien 37","damsgårdsveien",37,NA,"H0405","5058","Boligblokker",959516,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732726.89","-31962.67"
"2435",5350000,3,2016,5,5,122.61,1,"Fritt salg","Blokkleilighet",2,"3554.9",0,0,0,0,0,0,0,15,"1744.0","0.0","1744.0","1.0",0,4,6,"73.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-12-17,"4601/158/62/22","4601","158","62","22",300387775,"Damsgårdsveien 37","damsgårdsveien",37,NA,"H0405","5058","Boligblokker",1517964,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732726.89","-31962.67"
"2438",5500000,3,2016,5,5,122.61,1,"Fritt salg","Blokkleilighet",2,"3554.9",0,0,0,0,0,0,0,15,"1744.0","0.0","1744.0","1.0",0,4,5,"75.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-03-20,"4601/158/62/21","4601","158","62","21",300387775,"Damsgårdsveien 37","damsgårdsveien",37,NA,"H0405","5058","Boligblokker",337099,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732726.89","-31962.67"
"2440",5800000,44,1975,2,2,265.59,4,"Fritt salg","Frittliggende enebolig",1,"2446.8",0,0,0,0,0,0,0,1,"346.0","0.0","346.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q1",2019-03-04,"4601/91/6/NA","4601","91","6","NA",172951341,"Sagstadvegen 14","sagstadvegen",14,NA,NA,"5243","Småhus",261616,"Enebolig","Bolig","Bolig","6715877.89","-32096.82"
"2444",2800000,27,1992,2,2,207.1,4,"Fritt salg","Blokkleilighet",1,"4766.9",0,0,0,0,0,0,0,16,"1490.0","0.0","1490.0","0.0",0,1,1,"100.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-03-01,"4601/20/1420/8","4601","20","1420","8",9534938,"Bråtet 245A","bråtet",245,"A",NA,"5154","Boligblokker",257279,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6728350.02","-34271.15"
"2453",4800000,1,2018,6,1,106.82,1,"Fritt salg","Blokkleilighet",1,"3919.2",1,0,0,0,0,0,0,11,"1134.0","0.0","1134.0","490.0",0,4,1,"92.0",3,2,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-04,"4601/82/225/13","4601","82","225","13",300269924,"Hamrevegen 25 F","hamrevegen",25,"F","H0301","5229","Boligblokker",631687,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6722232.8","-30168.35"
"2456",8125000,16,2003,5,1,148.64,4,"Fritt salg","Frittliggende enebolig",1,"847.4",0,0,0,0,0,0,0,1,"185.0","0.0","185.0","89.0",0,1,1,"185.0",4,2,2,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",1,"Offentlig kloakk",2019,"2019Q2",2019-06-04,"4601/209/642/NA","4601","209","642","NA",20780339,"Glasskaråsen 70","glasskaråsen",70,NA,"H0101","5106","Småhus",629133,"Enebolig","Bolig","Bolig","6740395.7","-30998.42"
"2458",3300000,14,2005,5,1,164.79,4,"Fritt salg","Rekkehus/kjede",1,"2094.5",0,0,0,0,0,0,0,1,"110.0","0.0","110.0","0.0",0,1,1,"110.0",4,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-03,"4601/89/70/2","4601","89","70","2",23651394,"Titlestadvegen 89B","titlestadvegen",89,"B",NA,"5243","Småhus",624694,"Rekkehus","Bolig","Bolig","6721315.05","-32696.36"
"2459",5200000,2,2017,6,1,117.88,4,"Fritt salg","Rekkehus/kjede",1,"4757.4",1,0,0,0,0,0,0,1,"108.0","0.0","108.0","68.0",0,1,1,"108.0",4,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-04-04,"4601/7/248/9","4601","7","248","9",300559038,"Øvre Sædalsvegen 205 F","øvre sædalsvegen",205,"F","H0101","5099","Småhus",403982,"Rekkehus","Bolig","Bolig","6728826.92","-29673.6"
"2461",4850000,4,2015,5,2,131.14,4,"Fritt salg","Frittliggende enebolig",1,"937.7",0,0,0,0,0,0,0,1,"159.0","0.0","159.0","118.0",0,1,1,"159.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-04-02,"4627/29/320/NA","4627","29","320","NA",300501551,"Vestheim 107","vestheim",107,NA,NA,"5314","Småhus",389432,"Enebolig","Bolig","Bolig","6749159.84","-43701.39"
"2463",2750000,54,1965,2,5,212.21,2,"Fritt salg","Blokkleilighet",1,"1454.7",0,0,0,0,0,0,0,20,"1645.0","0.0","1645.0","0.0",0,1,4,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-15,"4601/157/184/4","4601","157","184","4",139637623,"Carl Konows gate 35","carl konows gate",35,NA,"H0104","5162","Boligblokker",556435,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733436.35","-32960.29"
"2467",4290000,8,2011,6,2,132.43,4,"Fritt salg","Rekkehus/kjede",1,"8981.6",1,0,0,0,0,0,0,6,"645.0","0.0","645.0","311.0",0,1,1,"104.0",5,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-15,"4601/10/834/15","4601","10","834","15",300122451,"Nye Sædalsveien 100 E","nye sædalsveien",100,"E","H0101","5099","Småhus",821087,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6728025.35","-29935.35"
"2469",3590000,8,2011,6,2,132.43,4,"Fritt salg","Blokkleilighet",1,"8981.6",1,0,0,0,0,0,0,6,"645.0","0.0","645.0","311.0",0,1,1,"82.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-17,"4601/10/834/19","4601","10","834","19",300122451,"Nye Sædalsveien 100 E","nye sædalsveien",100,"A","H0101","5099","Småhus",1228191,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6728025.35","-29935.35"
"2470",2900000,8,2011,6,2,132.43,4,"Fritt salg","Blokkleilighet",1,"8981.6",1,0,0,0,0,0,0,6,"645.0","0.0","645.0","311.0",0,1,1,"71.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-13,"4601/10/834/18","4601","10","834","18",300122451,"Nye Sædalsveien 100 E","nye sædalsveien",100,"B","H0101","5099","Småhus",1072841,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6728025.35","-29935.35"
"2472",4700000,26,1993,4,1,192.01,4,"Fritt salg","Blokkleilighet",1,"1716.9",1,0,0,0,0,0,0,4,"448.0","0.0","448.0","187.0",0,1,1,"138.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-20,"4601/37/132/8","4601","37","132","8",9491961,"Skranelia 26 B","skranelia",26,"B","H0101","5252","Småhus",566274,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6724870.4","-35980.32"
"2478",3850000,71,1948,1,2,408.13,4,"Fritt salg","Blokkleilighet",1,"686.4",0,0,0,0,0,0,0,3,"284.0","0.0","284.0","0.0",0,2,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-02,"4601/149/391/3","4601","149","391","3",139616944,"Haustbeitet 9","haustbeitet",9,NA,"H0201","5164","Småhus",492519,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6733732.65","-34829.89"
"2480",3e+06,129,1890,2,1,264.65,2,"Fritt salg","Blokkleilighet",1,"197.6",0,0,0,0,0,0,0,11,"822.0","0.0","822.0","0.0",1,4,1,"59.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-04-16,"4601/164/293/7","4601","164","293","7",139276493,"Welhavens gate 62","welhavens gate",62,NA,"H0401","5006","Boligblokker",449948,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6733470.41","-32129.49"
"2485",3530000,129,1890,2,1,264.65,2,"Fritt salg","Blokkleilighet",1,"197.6",0,0,0,0,0,0,0,11,"822.0","0.0","822.0","0.0",1,4,2,"59.0",2,1,1,0,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-14,"4601/164/293/6","4601","164","293","6",139276493,"Welhavens gate 62","welhavens gate",62,NA,"H0401","5006","Boligblokker",678374,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6733470.41","-32129.49"
"2488",4225000,32,1987,3,3,197.56,4,"Fritt salg","Frittliggende enebolig",1,"1250.0",0,0,0,0,0,0,0,1,"231.0","0.0","231.0","0.0",0,1,1,"231.0",4,1,2,1,0,"Hovedetasje","Kjøkken",3,"Privat innlagt",2,"Privat kloakk",2019,"2019Q1",2019-03-20,"4624/14/27/NA","4624","14","27","NA",9770488,"Sperrevikvegen 14","sperrevikvegen",14,NA,"H0101","5215","Småhus",336267,"Enebolig","Bolig","Bolig","6714759.99","-31571.89"
"2490",2875000,14,2005,4,2,172.54,4,"Fritt salg","Tomannsbolig",1,"964.2",0,0,0,0,0,0,0,1,"135.0","0.0","135.0","0.0",0,1,1,"135.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-01,"4626/21/124/NA","4626","21","124","NA",22583646,"Tunfjellvegen 17","tunfjellvegen",17,NA,"H0101","5363","Småhus",1149197,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6736667.49","-50007.12"
"2491",5990000,20,1999,4,2,184.07,4,"Fritt salg","Frittliggende enebolig",1,"345.5",0,0,0,0,0,0,0,1,"149.0","0.0","149.0","0.0",0,1,1,"125.0",4,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-03-22,"4601/37/274/NA","4601","37","274","NA",20741104,"Østre Nordeidbrekka 19","østre nordeidbrekka",19,NA,NA,"5252","Småhus",347309,"Enebolig","Bolig","Bolig","6725779.74","-35591.7"
"2493",3650000,63,1956,2,3,275.41,4,"Fritt salg","Tomannsbolig",1,"519.9",0,0,0,0,0,0,0,1,"144.0","0.0","144.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q2",2019-06-06,"4601/126/128/NA","4601","126","128","NA",139909496,"Gors vei 19 B","gors vei",19,"B","H0101","5174","Småhus",642783,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6728923.19","-38862.78"
