"","P","pm2","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","Etasje_num","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","Andelsnummer","InternIdBruksenhet","dist_cbd_km","geom"
"21",2680000,29777.7777777778,33,1988,3,"E","Red",1,255.73,"Tre",4,"Fritt salg","Rekkehus/kjede",3,"268.0",0,0,0,0,0,0,7,766,"0.0","766.0","260.0",0,2,1,90,4,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-08 02:00:00,"4627/9/280/4",4627,9,280,"4",9815139,"Kleppegrend 20","kleppegrend",20,NA,"H0102","5308","Småhus",679010,"Rekkehus","Bolig","Bolig",23,94849,7.96,c(-38415.61, 6739072.09)
"22",3230000,22587.4125874126,8,2011,6,"B","Red",1,120.91,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"769.3",0,0,0,0,0,0,1,142,"0.0","142.0","83.0",0,1,1,143,4,2,2,1,0,2,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q3",2019-09-13 02:00:00,"4626/26/325/1",4626,26,325,"1",300250126,"Breivikskorane 53","breivikskorane",53,NA,"H0101","5363","Småhus",1074051,"Kjede/atriumhus","Bolig","Bolig",10,6083468,18.5,c(-49439.71, 6740571.84)
"23",2430000,39836.0655737705,11,2011,6,"B","Red",1,118.18,"Betong",1,"Fritt salg","Blokkleilighet",1,"2814.1",0,0,0,0,0,0,4,244,"0.0","244.0","156.0",0,1,1,61,3,1,1,1,0,2,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q4",2022-11-02 01:00:00,"4626/33/502/2",4626,33,502,"2",300185325,"Norda Skaret 1 B","norda skaret",1,"B","H0101","5360","Småhus",1243469,"Andre småhus m/3 boliger el fl","Bolig","Bolig",6,6041165,14.06,c(-45982.04, 6732622.74)
"24",2310000,37868.8524590164,9,2011,6,"B","Red",1,118.18,"Betong",1,"Fritt salg","Annet",1,"2814.1",0,0,0,0,0,0,4,244,"0.0","244.0","156.0",0,1,1,61,3,1,1,1,0,2,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q4",2020-12-09 01:00:00,"4626/33/502/1",4626,33,502,"1",300185325,"Norda Skaret 1 B","norda skaret",1,"A","H0101","5360","Småhus",3460338,"Andre småhus m/3 boliger el fl","Bolig","Bolig",3,6041164,14.06,c(-45982.04, 6732622.74)
"25",3185000,26322.3140495868,15,2006,4,"D","Red",1,189.4,"Tre",4,"Fritt salg","Tomannsbolig",1,"665.7",0,0,0,0,0,0,2,194,"0.0","194.0","1.0",0,1,1,121,4,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-12-30 01:00:00,"4624/49/83/2",4624,49,83,"2",21723657,"Lekvenmarka 1 B","lekvenmarka",1,"A","U0101","5209","Småhus",1632514,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig",9,2359812,25.78,c(-29017.92, 6708718.63)
"26",2370000,32465.7534246575,13,2006,4,"D","Red",1,189.4,"Tre",4,"Fritt salg","Blokkleilighet",1,"665.7",0,0,0,0,0,0,2,194,"0.0","194.0","1.0",0,1,1,73,3,1,1,1,0,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-11-06 01:00:00,"4624/49/83/1",4624,49,83,"1",21723657,"Lekvenmarka 1 B","lekvenmarka",1,"B","U0101","5209","Småhus",1321556,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig",7,2359815,25.78,c(-29017.92, 6708718.63)
"27",3600000,40000,16,2006,4,"D","Orange",2,141.15,"Tre",4,"Fritt salg","Blokkleilighet",1,"2448.9",1,0,0,0,0,0,9,2479,"0.0","2479.0","2481.0",0,2,2,90,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-27 02:00:00,"4627/13/486/8",4627,13,486,"8",22996126,"Hetlevikvegen 141 A","hetlevikvegen",141,"B","H0201","5304","Boligblokker",697846,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig",8,147380,10.29,c(-41095.55, 6739184.6)
"28",3050000,36309.5238095238,8,2013,5,"C","Red",1,135.3,"Tre",4,"Fritt salg","Blokkleilighet",1,"3755.5",0,0,0,0,0,0,20,1882,"0.0","1882.0","838.0",0,3,1,84,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-28 02:00:00,"4626/33/444/17",4626,33,444,"17",9803874,"Norda Skaret 2 A","norda skaret",2,"E","H0104","5360","Boligblokker",783151,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig",5,6381609,14.06,c(-45979.39, 6732551.99)
"29",2200000,34920.6349206349,8,2013,5,"C","Red",1,135.3,"Tre",4,"Fritt salg","Blokkleilighet",1,"3755.5",0,0,0,0,0,0,20,1882,"0.0","1882.0","838.0",0,1,2,63,2,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-08-23 02:00:00,"4626/33/444/5",4626,33,444,"5",9803874,"Norda Skaret 2 A","norda skaret",2,"B","H0104","5360","Boligblokker",1032450,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig",7,6381598,14.06,c(-45979.39, 6732551.99)
"30",2350000,39166.6666666667,9,2013,5,"C","Red",1,135.3,"Tre",4,"Fritt salg","Blokkleilighet",1,"3755.5",0,0,0,0,0,0,20,1882,"0.0","1882.0","838.0",0,1,4,60,2,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-10-03 02:00:00,"4626/33/444/1",4626,33,444,"1",9803874,"Norda Skaret 2 A","norda skaret",2,"A","H0104","5360","Boligblokker",1105607,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig",6,600558,14.06,c(-45979.39, 6732551.99)
