"","P","pm2","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","Etasje_num","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","Andelsnummer","InternIdBruksenhet","dist_cbd_km","geom"
"21",4380000,33692.3076923077,19,2000,4,"D","Orange",2,192.97,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"134.3",0,0,0,0,0,0,1,130,"0.0","130.0","0.0",0,1,1,130,5,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-19 02:00:00,"4601/35/638/NA",4601,35,638,"0",20742267,"Dolvikhaugene 38","dolvikhaugene",38,NA,"H0101","5252","Småhus",697826,"Rekkehus","Bolig","Bolig",13,4831416,9.62,c(-36184.93, 6725646.55)
"22",4000000,25000,37,1984,2,"F","Orange",2,270.72,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"273.3",0,0,0,0,0,0,1,160,"0.0","160.0","0.0",0,1,1,160,4,2,2,1,0,2,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q2",2021-06-14 02:00:00,"4601/123/415/NA",4601,123,415,"0",139928997,"Gamle Kjøkkelvikveien 56","gamle kjøkkelvikveien",56,NA,"H0101","5178","Småhus",707070,"Rekkehus","Bolig","Bolig",8,4756793,5.77,c(-37567.26, 6732709.4)
"23",3010000,24672.131147541,8,2012,5,"C","Orange",2,135.82,"Tre",4,"Fritt salg","Tomannsbolig",1,"345.2",0,0,0,0,0,0,1,122,"0.0","122.0","93.0",0,1,1,122,4,2,3,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-07 02:00:00,"4626/10/208/NA",4626,10,208,"0",300339519,"Austegardsvegen 85","austegardsvegen",85,NA,"H0101","5357","Småhus",2320479,"Tomannsbolig, vertikaldelt","Bolig","Bolig",8,6236440,18.56,c(-49931.86, 6729414.34)
"24",3655000,30206.6115702479,17,2003,4,"D","Red",1,178.64,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"775.9",0,0,0,0,0,0,1,121,"0.0","121.0","0.0",0,1,1,121,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-07-03 02:00:00,"4631/134/420/NA",4631,134,420,"0",19239586,"Vardane 113","vardane",113,NA,"H0101","5911","Småhus",2696542,"Enebolig","Bolig","Bolig",5,5836171,20.48,c(-34603.19, 6754639.1)
"25",3700000,26811.5942028986,35,1984,3,"E","Orange",2,233.82,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"303.1",0,0,0,0,0,0,1,138,"0.0","138.0","0.0",0,1,1,138,5,1,1,1,0,2,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q3",2019-07-23 02:00:00,"4601/206/509/NA",4601,206,509,"0",139867963,"Træsgrenda 28","træsgrenda",28,NA,"H0101","5134","Småhus",853867,"Rekkehus","Bolig","Bolig",8,4947225,8.44,c(-28588.7, 6742033.3)
"26",6610000,50458.0152671756,30,1991,3,"E","Orange",2,212.2,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"235.9",0,0,0,0,0,0,1,131,"0.0","131.0","0.0",0,1,1,131,4,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-12-20 01:00:00,"4601/35/400/NA",4601,35,400,"0",9512217,"Eldshovden 1 G","eldshovden",1,"G","H0101","5252","Småhus",1595729,"Rekkehus","Bolig","Bolig",8,4812059,10.12,c(-36066.44, 6725040.12)
"27",5625000,35377.358490566,19,2002,4,"D","Orange",2,166.97,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"254.6",0,0,0,0,0,0,1,159,"0.0","159.0","0.0",0,1,1,159,4,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-02-08 01:00:00,"4601/37/349/NA",4601,37,349,"0",20753889,"Nordre Vardhaugen 70","nordre vardhaugen",70,NA,"H0101","5253","Småhus",158599,"Rekkehus","Bolig","Bolig",8,4825975,9.38,c(-35717.45, 6725698.24)
"28",3690000,19523.8095238095,13,2009,5,"C","Red",1,141.23,"Tre",4,"Fritt salg","Tomannsbolig",1,"413.2",0,0,0,0,0,0,1,189,"0.0","189.0","1.0",0,1,1,189,7,2,3,1,0,2,"Hovedetasje","Kjøkken",2,"Tilkn. privat vannverk",2,"Privat kloakk",2022,"2022Q1",2022-01-02 01:00:00,"4624/71/104/NA",4624,71,104,"0",25378083,"Berge 77 B","berge",77,"B","H0101","5211","Småhus",1077,"Tomannsbolig, vertikaldelt","Bolig","Bolig",7,2362082,23.56,c(-23709.46, 6712284.92)
"29",1200000,7185.62874251497,37,1983,3,"E","Yellow",3,225.47,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"561.1",0,0,0,0,0,0,1,167,"0.0","167.0","0.0",0,1,1,167,4,1,2,1,0,2,"Hovedetasje","Kjøkken",2,"Tilkn. privat vannverk",2,"Privat kloakk",2020,"2020Q3",2020-07-17 02:00:00,"4628/39/60/NA",4628,39,60,"0",9837787,NA,"mystervegen",55,NA,NA,"5728","Småhus",2763263,"Enebolig","Bolig","Bolig",7,3138229,46.68,c(-126.61, 6768397.86)
"30",3350000,24632.3529411765,8,2011,6,"B","Red",1,110.22,"Tre",4,"Fritt salg","Tomannsbolig",1,"398.7",0,0,0,0,0,0,1,136,"0.0","136.0","92.0",0,1,1,136,5,1,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-03 02:00:00,"4624/44/582/NA",4624,44,582,"0",300037852,"Kvernhusrenen 1 I","kvernhusrenen",1,"I","H0101","5208","Småhus",1164117,"Tomannsbolig, vertikaldelt","Bolig","Bolig",7,4740077,28.45,c(-29855.62, 6705959.15)
"31",3300000,36263.7362637363,33,1987,3,"E","Orange",2,256.38,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"149.2",0,0,0,0,0,0,1,91,"0.0","91.0","0.0",0,1,1,91,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-04 02:00:00,"4601/20/1202/NA",4601,20,1202,"0",9446168,"Tjørnhaugen 188","tjørnhaugen",188,NA,"H0101","5154","Småhus",2543284,"Rekkehus","Bolig","Bolig",4,4801562,6.59,c(-34186.11, 6728097.58)
"32",6450000,50390.625,11,2011,5,"C","Green",5,135.08,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"168.3",0,0,0,0,0,0,1,128,"0.0","128.0","1.0",0,1,1,128,5,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-02-28 01:00:00,"4601/39/660/NA",4601,39,660,"0",25187164,"Vindharpevegen 46 A","vindharpevegen",46,"A","H0101","5237","Småhus",226033,"Rekkehus","Bolig","Bolig",6,4839330,10.34,c(-34608.42, 6724311.4)
