"","P","Alder","B.Ar","EL.Kar","O.Karak","BLEnergikWh","MatValg","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"1098",1105000,7,2013,6,"Orange",130.91,"Tre","Opphør av samboerskap","Rekkehus/kjede",1,"1656.4",1,0,0,0,0,0,0,4,"240.0","0.0","240.0","132.0",0,1,1,"60.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-11-03,"4624/44/18/1","4624","44","18","1",300344357,"Kjeldevegen 4 G","kjeldevegen",4,"G","H0101","5208","Småhus",3271290,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6706516.63","-30243.58"
"1100",2200000,12,2008,5,"Red",117.41,"Betong","Fritt salg","Blokkleilighet",1,"9509.1",1,0,0,0,0,0,0,20,"2640.0","0.0","2640.0","0.0",0,1,1,"42.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-01-17,"4601/26/334/70","4601","26","334","70",25170717,"Helgeplasset 27","helgeplasset",29,NA,"H0305","5148","Boligblokker",1998183,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6730193.35","-33618.51"
"1103",2500000,8,2012,4,"Orange",147.71,"Betong","Fritt salg","Blokkleilighet",1,"3019.2",0,1,0,0,0,0,0,6,"334.0","0.0","334.0","190.0",0,1,1,"61.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-12-01,"4627/4/135/7","4627","4","135","7",300271461,"Vardane 15 A","vardane",15,"A","U0101","5306","Boligblokker",3414818,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6741508.18","-36761.39"
"1104",4500000,15,2005,4,"Orange",169.89,"Mur/tegl","Fritt salg","Blokkleilighet",1,"164.6",0,0,0,0,1,0,0,5,"548.0","0.0","548.0","0.0",1,3,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q1",2020-02-19,"4601/165/749/3","4601","165","749","3",139710002,"Munkelivsgaten 5","munkelivsgaten",5,NA,"K0101","5011","Boligblokker",2129632,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734611.83","-32465.27"
"1114",5400000,12,2008,5,"Red",127.84,"Betong","Fritt salg","Blokkleilighet",1,"5802.5",0,0,0,0,0,0,0,15,"1159.0","0.0","1159.0","0.0",0,3,1,"117.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-12-08,"4601/140/231/22","4601","140","231","22",25170644,"Leirvikneset 2 B","leirvikneset",2,"B","H0102","5179","Boligblokker",3451890,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734005.55","-38875.87"
"1117",2910000,12,2008,5,"Red",127.84,"Betong","Fritt salg","Blokkleilighet",1,"5802.5",0,0,0,0,0,0,0,15,"1159.0","0.0","1159.0","0.0",0,3,2,"53.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-02,"4601/140/231/23","4601","140","231","23",25170644,"Leirvikneset 2 B","leirvikneset",2,"B","H0102","5179","Boligblokker",2299599,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734005.55","-38875.87"
"1120",4200000,12,2008,4,"Red",139.55,"Betong","Fritt salg","Blokkleilighet",1,"7386.6",1,0,0,0,0,0,0,10,"1144.0","0.0","1144.0","0.0",0,2,3,"81.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-04,"4601/39/579/29","4601","39","579","29",23680130,"Steinsvikkroken 25","steinsvikkroken",25,NA,"H0203","5237","Boligblokker",2539769,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724006.18","-34928.43"
"1121",2850000,12,2008,4,"Red",139.55,"Betong","Fritt salg","Blokkleilighet",1,"7386.6",1,0,0,0,0,0,0,10,"1144.0","0.0","1144.0","0.0",0,3,1,"61.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-01-21,"4601/39/579/30","4601","39","579","30",23680130,"Steinsvikkroken 25","steinsvikkroken",25,NA,"H0203","5237","Boligblokker",2009031,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724006.18","-34928.43"
"1123",2500000,121,1899,2,"Red",285.37,"Mur/tegl","Fritt salg","Blokkleilighet",1,"135.9",0,0,0,0,0,0,0,7,"388.0","0.0","388.0","102.0",0,2,1,"37.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-07-03,"4601/164/111/4","4601","164","111","4",139274881,"Dragefjellsbakken 4","dragefjellsbakken",4,NA,"H0301","5010","Boligblokker",2694760,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734121.04","-32467.74"
"1125",2950000,121,1899,2,"Red",285.37,"Mur/tegl","Fritt salg","Blokkleilighet",1,"135.9",0,0,0,0,0,0,0,7,"388.0","0.0","388.0","102.0",0,2,2,"46.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-02-13,"4601/164/111/3","4601","164","111","3",139274881,"Dragefjellsbakken 4","dragefjellsbakken",4,NA,"H0301","5010","Boligblokker",2107997,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734121.04","-32467.74"
"1129",1990000,121,1899,2,"Red",285.37,"Mur/tegl","Fritt salg","Blokkleilighet",1,"135.9",0,0,0,0,0,0,0,7,"388.0","0.0","388.0","102.0",0,1,2,"29.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-11-12,"4601/164/111/2","4601","164","111","2",139274881,"Dragefjellsbakken 4","dragefjellsbakken",4,NA,"H0301","5010","Boligblokker",3325629,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734121.04","-32467.74"
"1135",2950000,16,2004,4,"Red",141.48,"Betong","Fritt salg","Blokkleilighet",1,"4384.9",1,0,0,0,0,0,0,46,"4154.0","0.0","4154.0","0.0",0,1,7,"67.0",3,1,1,1,1,"Hovedetasje","Kjøkken",3,"Privat innlagt",1,"Offentlig kloakk",2020,"2020Q3",2020-07-16,"4601/123/518/7","4601","123","518","7",20767952,"Lyderhornslien 125","lyderhornslien",125,NA,"H0402","5178","Boligblokker",2758063,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733198.37","-37191.09"
"1139",3650000,16,2004,4,"Red",141.48,"Betong","Fritt salg","Uoppgitt",1,"4384.9",1,0,0,0,0,0,0,46,"4154.0","0.0","4154.0","0.0",0,3,10,"80.0",3,1,1,1,1,"Hovedetasje","Kjøkken",3,"Privat innlagt",1,"Offentlig kloakk",2020,"2020Q4",2020-10-13,"4601/123/518/27","4601","123","518","27",20767952,"Lyderhornslien 125","lyderhornslien",125,NA,"H0402","5178","Boligblokker",3168884,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733198.37","-37191.09"
"1141",2600000,16,2004,4,"Red",141.48,"Betong","Fritt salg","Blokkleilighet",1,"4384.9",1,0,0,0,0,0,0,46,"4154.0","0.0","4154.0","0.0",0,3,3,"60.0",2,1,1,1,1,"Hovedetasje","Kjøkken",3,"Privat innlagt",1,"Offentlig kloakk",2020,"2020Q3",2020-09-17,"4601/123/518/20","4601","123","518","20",20767952,"Lyderhornslien 125","lyderhornslien",125,NA,"H0402","5178","Boligblokker",3039579,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733198.37","-37191.09"
"1151",3300000,33,1987,3,"Orange",256.38,"Tre","Fritt salg","Rekkehus/kjede",1,"149.2",0,0,0,0,0,0,0,1,"91.0","0.0","91.0","0.0",0,1,1,"91.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-04,"4601/20/1202/NA","4601","20","1202","NA",9446168,"Tjørnhaugen 188","tjørnhaugen",188,NA,"H0101","5154","Småhus",2543284,"Rekkehus","Bolig","Bolig","6728097.58","-34186.11"
"1165",2950000,26,1994,3,"Red",183.33,"Tre","Fritt salg","Annet",1,"1548.8",0,0,0,0,0,0,0,12,"1733.0","0.0","1733.0","0.0",0,2,1,"76.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-02-13,"4601/44/805/4","4601","44","805","4",9529209,"Tranevegen 308","tranevegen",308,NA,"H0201","5238","Boligblokker",2106085,"Rekkehus","Bolig","Bolig","6724492.26","-31746.58"
"1168",3050000,26,1994,3,"Red",183.33,"Tre","Fritt salg","Blokkleilighet",1,"1548.8",0,0,0,0,0,0,0,12,"1733.0","0.0","1733.0","0.0",0,1,1,"76.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-09-22,"4601/44/805/1","4601","44","805","1",9529209,"Tranevegen 308","tranevegen",312,NA,"H0201","5238","Boligblokker",3062151,"Rekkehus","Bolig","Bolig","6724492.26","-31746.58"
"1170",4300000,20,2000,4,"Red",150.23,"Betong","Fritt salg","Frittliggende enebolig",1,"1355.4",0,0,0,0,0,0,0,33,"4322.0","0.0","4322.0","0.0",0,1,1,"96.0",3,1,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-08-06,"4601/12/355/3","4601","12","355","3",20739428,"Fantoftvegen 30","fantoftvegen",30,NA,"H0406","5072","Boligblokker",2837053,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6728655.96","-31092.15"
"1174",3100000,20,2000,4,"Red",150.23,"Betong","Fritt salg","Blokkleilighet",1,"1355.4",0,0,0,0,0,0,0,33,"4322.0","0.0","4322.0","0.0",0,5,5,"68.0",4,1,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-16,"4601/12/355/24","4601","12","355","24",20739428,"Fantoftvegen 30","fantoftvegen",30,NA,"H0406","5072","Boligblokker",2338933,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6728655.96","-31092.15"
"1206",1750000,55,1965,1,"Orange",329.91,"Tre","Skifteoppgjør","Tomannsbolig",1,"884.4",0,0,0,0,0,0,0,1,"138.0","0.0","138.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-19,"4601/44/510/NA","4601","44","510","NA",139497392,"Nedre Bjørkåsen 9","nedre bjørkåsen",9,NA,"H0101","5228","Småhus",2247124,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6724667.54","-31234.45"
"1217",1410000,74,1946,1,"Yellow",278.23,"Betong","Fritt salg","Annet",1,"628.8",0,0,0,0,0,0,0,6,"464.0","0.0","464.0","0.0",0,1,1,"28.0",1,0,1,1,0,"Underetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q1",2020-02-20,"4601/302/560/1","4601","302","560","1",139915879,"Frydenlundsvegen 2","frydenlundsvegen",2,NA,"H0202","5265","Boligblokker",2134066,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6740780.58","-24729.79"
"1229",2450000,13,2007,4,"Red",211.34,"Tre","Fritt salg","Blokkleilighet",1,"716.6",0,0,0,0,0,0,0,8,"568.0","0.0","568.0","340.0",0,1,1,"73.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2020,"2020Q3",2020-09-28,"4627/17/543/6","4627","17","543","6",23004089,"Kollevågtjørna 10 C","kollevågtjørna",10,"F","U0101","5310","Småhus",3089129,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6742067.83","-41589.75"
"1257",1525000,15,2005,5,"Red",138.74,"Betong","Fritt salg","Blokkleilighet",1,"469.6",0,0,0,0,1,0,0,14,"1303.0","0.0","1303.0","0.0",0,4,1,"76.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-02-28,"4601/167/555/12","4601","167","555","12",20773170,"Nye Sandviksveien 52","nye sandviksveien",52,NA,"H0203","5032","Boligblokker",2165857,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735342.06","-31885.42"
"1260",7770000,15,2005,5,"Red",138.74,"Betong","Fritt salg","Blokkleilighet",1,"469.6",0,0,0,0,1,0,0,14,"1303.0","0.0","1303.0","0.0",0,4,2,"108.0",4,1,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-09-24,"4601/167/555/13","4601","167","555","13",20773170,"Nye Sandviksveien 52","nye sandviksveien",52,NA,"H0203","5032","Boligblokker",3074964,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735342.06","-31885.42"
"1262",4350000,50,1970,3,"Orange",212.73,"Tre","Fritt salg","Rekkehus/kjede",1,"6074.0",1,0,0,0,0,0,0,18,"2355.0","0.0","2355.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-10,"4601/186/915/14","4601","186","915","14",139748166,"Vågslien 13","vågslien",11,NA,"H0101","5113","Småhus",2211358,"Terrassehus","Bolig","Bolig","6741460.91","-32235.92"
"1264",4200000,50,1970,3,"Orange",212.73,"Tre","Fritt salg","Rekkehus/kjede",1,"6074.0",1,0,0,0,0,0,0,18,"2355.0","0.0","2355.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-12-22,"4601/186/915/17","4601","186","915","17",139748166,"Vågslien 13","vågslien",13,NA,"H0101","5113","Småhus",3527912,"Terrassehus","Bolig","Bolig","6741460.91","-32235.92"
"1266",3970000,50,1970,3,"Orange",212.73,"Tre","Fritt salg","Blokkleilighet",1,"6074.0",1,0,0,0,0,0,0,18,"2355.0","0.0","2355.0","0.0",0,2,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-01-08,"4601/186/915/2","4601","186","915","2",139748166,"Vågslien 13","vågslien",23,NA,"H0101","5113","Småhus",1958497,"Terrassehus","Bolig","Bolig","6741460.91","-32235.92"
"1271",2655000,10,2010,6,"Red",137.67,"Tre","Fritt salg","Blokkleilighet",1,"940.3",0,0,0,0,0,0,0,4,"224.0","0.0","224.0","230.0",0,1,1,"55.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-09-02,"4601/146/314/1","4601","146","314","1",300061292,"Wallemsskogen 3 A","wallemsskogen",3,"A","H0101","5165","Småhus",2958124,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6734185.65","-35312.55"
"1280",3390000,130,1890,1,"Red",415.69,"Tre","Fritt salg","Blokkleilighet",1,"126.9",0,0,0,0,0,0,0,6,"337.0","0.0","337.0","115.0",1,1,1,"52.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-08-07,"4601/167/267/3","4601","167","267","3",139311809,"Gjeble Pederssøns gate 3","gjeble pederssøns gate",3,NA,"H0101","5034","Boligblokker",2847482,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6735320.07","-31596.8"
"1282",2200000,24,1996,3,"Red",232.48,"Betong","Fritt salg","Blokkleilighet",1,"1048.3",1,0,0,0,0,0,0,3,"246.0","0.0","246.0","0.0",0,1,1,"105.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-12-11,"4627/6/437/3","4627","6","437","3",13596859,"Florvågvegen 76C","florvågvegen",76,"C",NA,"5305","Småhus",3475172,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6737971.05","-36251.36"
"1290",2400000,10,2010,5,"Orange",135.99,"Tre","Fritt salg","Tomannsbolig",1,"573.1",0,0,0,0,0,0,0,1,"109.0","0.0","109.0","0.0",0,1,1,"109.0",4,2,2,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q1",2020-02-04,"4626/52/316/NA","4626","52","316","NA",24182339,"Haganesbrekko 23","haganesbrekko",23,NA,"H0101","5357","Småhus",2066963,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6723463.94","-45547.33"
"1300",2720000,88,1932,2,"Orange",266.61,"Tre","Fritt salg","Blokkleilighet",1,"722.2",0,0,0,0,0,0,0,2,"321.0","0.0","321.0","0.0",0,2,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-01-07,"4601/216/20/5","4601","216","20","5",139697316,"Eidsvågveien 142","eidsvågveien",142,NA,"H0101","5105","Småhus",1950468,"Tomannsbolig, horisontaldelt","Bolig","Bolig","6739063.33","-31503.28"
"1311",2940000,53,1967,1,"Red",404.03,"Betong","Opphør av samboerskap","Rekkehus/kjede",1,"6112.6",0,0,0,0,0,0,0,1,"77.0","0.0","77.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q4",2020-10-19,"4601/124/76/10","4601","124","76","10",139929241,"Hetlevikåsen 27","hetlevikåsen",27,NA,"H0101","5173","Småhus",3192085,"Rekkehus","Bolig","Bolig","6730599.58","-37925.43"
"1321",4600000,7,2013,5,"Green",124.62,"Betong","Fritt salg","Blokkleilighet",1,"4328.1",1,0,0,0,0,0,0,20,"1479.0","0.0","1479.0","360.0",0,3,4,"77.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-05-04,"4601/158/87/10","4601","158","87","10",300281113,"Michael Krohns gate 73","michael krohns gate",73,NA,"H0301","5057","Boligblokker",2406144,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733136.07","-32443.98"
"1322",2600000,7,2013,5,"Green",124.62,"Betong","Fritt salg","Blokkleilighet",1,"4328.1",1,0,0,0,0,0,0,20,"1479.0","0.0","1479.0","360.0",0,3,6,"35.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-08-10,"4601/158/87/12","4601","158","87","12",300281113,"Michael Krohns gate 73","michael krohns gate",73,NA,"H0301","5057","Boligblokker",2850418,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733136.07","-32443.98"
"1323",3675000,7,2013,5,"Green",124.62,"Betong","Fritt salg","Blokkleilighet",1,"4328.1",1,0,0,0,0,0,0,20,"1479.0","0.0","1479.0","360.0",0,2,3,"61.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-17,"4601/158/87/6","4601","158","87","6",300281113,"Michael Krohns gate 73","michael krohns gate",73,NA,"H0301","5057","Boligblokker",2607765,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733136.07","-32443.98"
"1324",2950000,7,2013,5,"Green",124.62,"Betong","Fritt salg","Blokkleilighet",1,"4328.1",1,0,0,0,0,0,0,20,"1479.0","0.0","1479.0","360.0",0,3,3,"41.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-11-05,"4601/158/87/9","4601","158","87","9",300281113,"Michael Krohns gate 73","michael krohns gate",73,NA,"H0301","5057","Boligblokker",3291271,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733136.07","-32443.98"
"1329",3300000,12,2008,5,"Red",139.83,"Tre","Fritt salg","Tomannsbolig",1,"881.8",0,0,0,0,0,0,0,1,"119.0","0.0","119.0","1.0",0,1,1,"119.0",5,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-07-30,"4624/61/135/2","4624","61","135","2",21725692,"Hjellevegen 74 D","hjellevegen",74,"D","H0101","5211","Småhus",2808631,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6712040.96","-26306.14"
"1331",2330000,83,1937,1,"Orange",328.62,"Mur/tegl","Fritt salg","Blokkleilighet",1,"290.7",0,0,0,0,0,0,0,4,"511.0","0.0","511.0","0.0",0,1,1,"44.0",2,1,1,1,0,"Kjelleretasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-07-17,"4601/164/190/4","4601","164","190","4",139275659,"Dokken 6","dokken",6,NA,"K0101","5006","Boligblokker",2763020,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6733950.8","-32510.25"
"1333",2500000,12,2008,6,"Orange",116.63,"Tre","Opphør av samboerskap","Frittliggende enebolig",2,"977.3",0,0,0,0,0,0,0,1,"210.0","0.0","210.0","0.0",0,1,1,"210.0",6,2,3,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-12-22,"4601/140/13/NA","4601","140","13","NA",23680890,"Leirvikveien 42 B","leirvikveien",42,"B","H0101","5179","Småhus",3525626,"Enebolig","Bolig","Bolig","6733852.7","-39014.24"
"1348",5750000,17,2003,5,"Red",136.2,"Betong","Fritt salg","Blokkleilighet",1,"3707.1",1,0,0,0,0,0,0,52,"3833.0","0.0","3833.0","630.0",0,6,4,"91.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-02-17,"4601/168/2064/39","4601","168","2064","39",20774584,"Måseskjærveien 22","måseskjærveien",22,NA,"H0302","5035","Boligblokker",2119205,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736699.89","-31915.75"
"1358",8650000,17,2003,5,"Red",136.2,"Betong","Fritt salg","Blokkleilighet",1,"3707.1",1,0,0,0,0,0,0,52,"3833.0","0.0","3833.0","630.0",0,7,2,"64.0",4,1,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-09-04,"4601/168/2064/51","4601","168","2064","51",20774584,"Måseskjærveien 22","måseskjærveien",24,NA,"H0302","5035","Boligblokker",2973075,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736699.89","-31915.75"
"1359",2800000,17,2003,5,"Red",136.2,"Betong","Fritt salg","Blokkleilighet",1,"3707.1",1,0,0,0,0,0,0,52,"3833.0","0.0","3833.0","630.0",0,1,1,"53.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-26,"4601/168/2064/2","4601","168","2064","2",20774584,"Måseskjærveien 22","måseskjærveien",22,NA,"H0302","5035","Boligblokker",2656819,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736699.89","-31915.75"
"1362",3e+06,17,2003,5,"Red",136.2,"Betong","Fritt salg","Blokkleilighet",1,"3707.1",1,0,0,0,0,0,0,52,"3833.0","0.0","3833.0","630.0",0,1,1,"54.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-08-20,"4601/168/2064/5","4601","168","2064","5",20774584,"Måseskjærveien 22","måseskjærveien",24,NA,"H0302","5035","Boligblokker",2900575,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736699.89","-31915.75"
"1364",4675000,17,2003,5,"Red",136.2,"Betong","Fritt salg","Blokkleilighet",1,"3707.1",1,0,0,0,0,0,0,52,"3833.0","0.0","3833.0","630.0",0,2,1,"75.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-05,"4601/168/2064/14","4601","168","2064","14",20774584,"Måseskjærveien 22","måseskjærveien",24,NA,"H0302","5035","Boligblokker",2549286,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736699.89","-31915.75"
"1365",3430000,17,2003,5,"Red",136.2,"Betong","Fritt salg","Blokkleilighet",1,"3707.1",1,0,0,0,0,0,0,52,"3833.0","0.0","3833.0","630.0",0,3,3,"61.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-08-31,"4601/168/2064/16","4601","168","2064","16",20774584,"Måseskjærveien 22","måseskjærveien",22,NA,"H0302","5035","Boligblokker",2944466,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736699.89","-31915.75"
"1374",3800000,17,2003,5,"Red",161.03,"Tre","Skifteoppgjør","Blokkleilighet",1,"4463.7",1,0,0,0,0,0,0,8,"882.0","0.0","882.0","0.0",0,2,1,"143.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-04,"4601/50/247/4","4601","50","247","4",20772034,"Kirkebirkeland 91 D","kirkebirkeland",91,"E","H0201","5227","Småhus",2545757,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724059.67","-30539.52"
"1384",2590000,64,1956,1,"Orange",399.71,"Tre","Fritt salg","Blokkleilighet",1,"1660.3",0,0,0,0,0,0,0,8,"904.0","0.0","904.0","0.0",0,1,2,"74.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2020,"2020Q2",2020-05-26,"4601/148/189/8","4601","148","189","8",139610105,"Lyngbøveien 149","lyngbøveien",149,NA,"H0101","5164","Småhus",2501986,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6733250.6","-35419.61"
