"","P","Alder","B.Ar","EL.Kar","O.Karak","BLEnergikWh","MatValg","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"2649",3070000,34,1986,4,"Yellow",201.39,"Betong","Fritt salg","Rekkehus/kjede",1,"23174.7",1,0,0,0,0,0,0,54,"8676.0","0.0","8676.0","0.0",0,2,1,"108.0",4,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-11-02,"4601/49/295/106","4601","49","295","106",9432655,"Vallalia 125","vallalia",111,NA,"H0201","5227","Småhus",3267156,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6722883.04","-30219.37"
"2653",2800000,34,1986,4,"Yellow",201.39,"Betong","Fritt salg","Rekkehus/kjede",1,"23174.7",1,0,0,0,0,0,0,54,"8676.0","0.0","8676.0","0.0",0,5,1,"108.0",4,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-09-04,"4601/49/295/76","4601","49","295","76",9432655,"Vallalia 125","vallalia",167,NA,"H0201","5227","Småhus",2976607,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6722883.04","-30219.37"
"2654",3200000,34,1986,4,"Yellow",201.39,"Betong","Fritt salg","Blokkleilighet",1,"23174.7",1,0,0,0,0,0,0,54,"8676.0","0.0","8676.0","0.0",0,2,1,"108.0",4,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-26,"4601/49/295/115","4601","49","295","115",9432655,"Vallalia 125","vallalia",93,NA,"H0201","5227","Småhus",2656726,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6722883.04","-30219.37"
"2657",3740000,6,2014,5,"Red",109.14,"Tre","Fritt salg","Blokkleilighet",1,"9427.9",1,0,0,0,0,0,0,18,"1770.0","0.0","1770.0","890.0",0,2,2,"88.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-09-30,"4601/42/710/29","4601","42","710","29",300343676,"Sundts veg 11 F","sundts veg",11,"A","H0101","5221","Boligblokker",3104284,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6725871.59","-32144.06"
"2664",3475000,6,2014,5,"Red",109.14,"Tre","Fritt salg","Blokkleilighet",1,"9427.9",1,0,0,0,0,0,0,18,"1770.0","0.0","1770.0","890.0",0,1,1,"88.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-14,"4601/42/710/23","4601","42","710","23",300343676,"Sundts veg 11 F","sundts veg",11,"F","H0101","5221","Boligblokker",2328438,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6725871.59","-32144.06"
"2667",3650000,6,2014,5,"Red",109.14,"Tre","Fritt salg","Blokkleilighet",1,"9427.9",1,0,0,0,0,0,0,18,"1770.0","0.0","1770.0","890.0",0,1,1,"88.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-07-06,"4601/42/710/24","4601","42","710","24",300343676,"Sundts veg 11 F","sundts veg",11,"G","H0101","5221","Boligblokker",2700549,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6725871.59","-32144.06"
"2688",3255000,99,1921,2,"Orange",248.06,"Mur/tegl","Fritt salg","Blokkleilighet",1,"155.2",0,0,0,0,0,0,0,3,"285.0","0.0","285.0","0.0",0,2,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-12-22,"4601/163/544/2","4601","163","544","2",139274105,"Nordbø 17 B","nordbø",17,"B","H0201","5009","Boligblokker",3527819,"Rekkehus","Bolig","Bolig","6732892.05","-29968.23"
"2702",2640000,69,1951,2,"Yellow",248.17,"Tre","Fritt salg","Blokkleilighet",1,"511.2",0,0,0,0,0,0,0,2,"232.0","0.0","232.0","0.0",0,2,1,"115.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-07-27,"4601/211/32/2","4601","211","32","2",139695003,"Ervikveien 62","ervikveien",62,NA,"H0101","5106","Småhus",2792542,"Tomannsbolig, horisontaldelt","Bolig","Bolig","6739951.74","-31122.46"
"2704",4200000,69,1951,2,"Yellow",248.17,"Tre","Fritt salg","Tomannsbolig",1,"511.2",0,0,0,0,0,0,0,2,"232.0","0.0","232.0","0.0",0,1,1,"115.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-07,"4601/211/32/1","4601","211","32","1",139695003,"Ervikveien 62","ervikveien",62,NA,"H0101","5106","Småhus",2318619,"Tomannsbolig, horisontaldelt","Bolig","Bolig","6739951.74","-31122.46"
"2706",6300000,66,1954,1,"Yellow",317.89,"Betong","Fritt salg","Rekkehus/kjede",1,"317.5",0,0,0,0,0,0,0,1,"135.0","0.0","135.0","52.0",0,1,1,"135.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-04,"4601/161/242/NA","4601","161","242","NA",139243323,"Sollien 60 A","sollien",60,"A","H0101","5096","Småhus",2183776,"Rekkehus","Bolig","Bolig","6731450.24","-29809.69"
