"","P","pm2","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","Etasje_num","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","Andelsnummer","InternIdBruksenhet","dist_cbd_km","geom"
"22",7600000,176744.186046512,10,2009,5,"C","Green",5,143.95,"Mur/tegl",2,"Fritt salg","Frittliggende enebolig",1,"2558.5",1,0,0,0,0,0,2,442,"0.0","442.0","314.0",0,1,1,43,2,1,1,1,0,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2019,"2019Q2",2019-05-07 02:00:00,"4627/4/1142/NA",4627,4,1142,"0",22992686,"Øvre Skogvegen 36","øvre skogvegen",36,NA,NA,"5306","Småhus",518537,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig",4,6938816,8.59,c(-36679.78, 6741551.08)
"23",2200000,15277.7777777778,19,2000,5,"C","Yellow",3,145.69,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"1318.6",0,0,0,0,0,0,1,144,"0.0","144.0","0.0",0,1,1,144,5,2,2,1,0,2,"Hovedetasje","Kjøkken",2,"Tilkn. privat vannverk",2,"Privat kloakk",2019,"2019Q2",2019-06-28 02:00:00,"4631/11/108/NA",4631,11,108,"0",19235777,"Hosøyvegen 179","hosøyvegen",179,NA,"H0101","5993","Småhus",745905,"Enebolig","Bolig","Bolig",4,2204248,33.35,c(-24375.65, 6766787.97)
"24",4850000,30503.144654088,4,2015,5,"C","Orange",2,131.14,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"937.7",0,0,0,0,0,0,1,159,"0.0","159.0","118.0",0,1,1,159,4,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-04-02 02:00:00,"4627/29/320/NA",4627,29,320,"0",300501551,"Vestheim 107","vestheim",107,NA,NA,"5314","Småhus",389432,"Enebolig","Bolig","Bolig",7,6565278,18.88,c(-43701.39, 6749159.84)
"25",4225000,18290.0432900433,32,1987,3,"E","Yellow",3,197.56,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"1250.0",0,0,0,0,0,0,1,231,"0.0","231.0","0.0",0,1,1,231,4,1,2,1,0,2,"Hovedetasje","Kjøkken",3,"Privat innlagt",2,"Privat kloakk",2019,"2019Q1",2019-03-20 01:00:00,"4624/14/27/NA",4624,14,27,"0",9770488,"Sperrevikvegen 14","sperrevikvegen",14,NA,"H0101","5215","Småhus",336267,"Enebolig","Bolig","Bolig",7,2317069,19.57,c(-31571.89, 6714759.99)
"26",2875000,21296.2962962963,14,2005,4,"D","Orange",2,172.54,"Tre",4,"Fritt salg","Tomannsbolig",1,"964.2",0,0,0,0,0,0,1,135,"0.0","135.0","0.0",0,1,1,135,4,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-01 02:00:00,"4626/21/124/NA",4626,21,124,"0",22583646,"Tunfjellvegen 17","tunfjellvegen",17,NA,"H0101","5363","Småhus",1149197,"Tomannsbolig, vertikaldelt","Bolig","Bolig",11,364555,18.13,c(-50007.12, 6736667.49)
"27",3150000,26033.0578512397,1,2018,5,"C","Orange",2,135.26,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"866.9",0,0,0,0,0,0,1,121,"0.0","121.0","101.0",0,1,1,121,9,3,3,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-05 02:00:00,"4626/20/314/NA",4626,20,314,"0",300590044,"Midtfjellet 66","midtfjellet",66,NA,"H0101","5363","Småhus",633756,"Enebolig","Bolig","Bolig",5,7138060,18.41,c(-50442.78, 6734430.59)
"28",5600000,23829.7872340426,14,2005,5,"C","Yellow",3,138.75,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"997.6",0,0,0,0,0,0,1,235,"0.0","235.0","0.0",0,1,1,235,4,1,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-04 02:00:00,"4624/44/536/NA",4624,44,536,"0",21719560,"Halhjemsmarka 270","halhjemsmarka",270,NA,"H0101","5208","Småhus",776312,"Enebolig","Bolig","Bolig",7,6085406,28.86,c(-29723.77, 6705552.57)
"29",3410000,26850.3937007874,17,2002,4,"D","Orange",2,190.51,"Tre",4,"Fritt salg","Tomannsbolig",1,"463.4",0,0,0,0,0,0,1,127,"0.0","127.0","97.0",0,1,1,127,5,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2019,"2019Q3",2019-07-11 02:00:00,"4631/1/369/NA",4631,1,369,"0",21166855,"Høgdene 6","høgdene",6,NA,"H0101","5918","Småhus",810624,"Tomannsbolig, vertikaldelt","Bolig","Bolig",7,1289915,16.21,c(-32709.41, 6750519.35)
"30",4850000,32550.3355704698,0,2020,5,"C","Orange",2,142.55,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"1456.3",0,0,0,0,0,0,1,149,"0.0","149.0","161.0",0,1,1,149,5,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-16 01:00:00,"4627/18/625/NA",4627,18,625,"0",300732425,"Friluftsvegen 43 D","friluftsvegen",43,"D","H0101","5310","Småhus",2234366,"Enebolig","Bolig","Bolig",9,6992944,13.83,c(-42859.34, 6742925.97)
"31",3850000,28518.5185185185,17,2003,4,"D","Orange",2,179.04,"Tre",4,"Fritt salg","Tomannsbolig",1,"402.7",0,0,0,0,0,0,1,135,"0.0","135.0","0.0",0,1,1,135,5,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-05-06 02:00:00,"4627/10/581/NA",4627,10,581,"0",19722716,"Lyngmarka 47 A","lyngmarka",47,"A","H0101","5302","Småhus",2418026,"Tomannsbolig, vertikaldelt","Bolig","Bolig",5,138461,7.99,c(-39509.19, 6737124.52)
"32",2850000,23360.6557377049,31,1989,4,"D","Yellow",3,197.73,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"799.1",0,0,0,0,0,0,1,122,"0.0","122.0","0.0",0,1,1,122,5,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2020,"2020Q3",2020-07-01 02:00:00,"4626/234/203/NA",4626,234,203,"0",9859624,"Knappestigen 8","knappestigen",8,NA,"H0101","5337","Småhus",2679300,"Enebolig","Bolig","Bolig",11,1362367,21.59,c(-50710.48, 6745151.88)
"33",6500000,30952.380952381,13,2007,5,"C","Orange",2,139.63,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"1916.3",0,0,0,0,0,0,1,210,"0.0","210.0","0.0",0,1,1,210,5,3,3,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2020,"2020Q3",2020-07-17 02:00:00,"4631/322/30/NA",4631,322,30,"0",21172510,"Juviknipa 7","juviknipa",7,NA,"H0101","5918","Småhus",2761343,"Enebolig","Bolig","Bolig",3,1294092,14.17,c(-35501.21, 6748064.08)
"34",4150000,20048.309178744,30,1990,4,"D","Orange",2,170.61,"Mur/tegl",2,"Fritt salg","Frittliggende enebolig",1,"467.5",0,0,0,0,0,0,1,207,"0.0","207.0","0.0",0,1,1,207,5,2,2,1,0,2,"Hovedetasje","Kjøkken",2,"Tilkn. privat vannverk",2,"Privat kloakk",2020,"2020Q3",2020-08-04 02:00:00,"4626/39/492/NA",4626,39,492,"0",12193009,"Rennedalsvegen 19","rennedalsvegen",19,NA,"H0101","5355","Småhus",2827236,"Enebolig","Bolig","Bolig",3,331213,9.35,c(-41362.46, 6733780.39)
