"","P","Alder","B.Ar","EL.Kar","O.Karak","BLEnergikWh","MatValg","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"322",2750000,83,1939,1,"Red",738.63,"Mur/tegl","Fritt salg","Annet",1,"425.1",0,0,0,0,0,0,0,3,"283.0","0.0","283.0","0.0",0,1,1,"45.0",2,1,0,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-02-01,"4601/168/905/1","4601","168","905","1",139332482,"Munkebotn 39","munkebotn",39,NA,"U0101","5036","Småhus",124578,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6737198.98","-31951.05"
"323",5670000,32,1988,3,"Orange",256.45,"Tre","Fritt salg","Frittliggende enebolig",1,"544.2",0,0,0,0,0,0,0,1,"270.0","0.0","270.0","0.0",0,1,1,"270.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-02,"4627/7/756/NA","4627","7","756","NA",9818154,"Holmedalshammaren 17","holmedalshammaren",17,NA,"H0101","5300","Småhus",2529915,"Enebolig","Bolig","Bolig","6736765.85","-37624.86"
"325",2100000,89,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Annet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,2,5,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q1",2019-02-21,"4601/168/678/21","4601","168","678","21",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",221939,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"326",2300000,89,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,2,9,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q2",2019-05-23,"4601/168/678/17","4601","168","678","17",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",585318,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"328",2300000,90,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,3,6,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q2",2020-06-02,"4601/168/678/32","4601","168","678","32",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",2529829,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"329",2700000,91,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q1",2021-02-15,"4601/168/678/12","4601","168","678","12",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",189933,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"330",2690000,92,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,2,6,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q2",2022-06-08,"4601/168/678/20","4601","168","678","20",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",614917,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"331",3300000,90,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,1,8,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q3",2020-08-12,"4601/168/678/8","4601","168","678","8",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",2864789,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"332",3150000,92,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,1,6,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q4",2022-10-02,"4601/168/678/10","4601","168","678","10",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",1100316,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"333",5250000,90,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,3,5,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q2",2020-04-14,"4601/168/678/26","4601","168","678","26",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",2328010,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"335",2500000,90,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,3,2,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q2",2020-04-28,"4601/168/678/29","4601","168","678","29",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",2387564,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"337",2220000,90,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Kjelleretasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q3",2020-07-01,"4601/168/678/1","4601","168","678","1",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",2677994,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"339",2100000,89,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,1,3,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q3",2019-09-27,"4601/168/678/14","4601","168","678","14",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",1136880,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"341",5600000,92,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,3,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q2",2022-06-02,"4601/168/678/30","4601","168","678","30",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",596836,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"343",2850000,91,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,2,3,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q3",2021-08-03,"4601/168/678/25","4601","168","678","25",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",943763,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"344",2620000,91,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,2,8,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q1",2021-01-08,"4601/168/678/18","4601","168","678","18",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",31163,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"345",2600000,90,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,1,9,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q3",2020-08-18,"4601/168/678/7","4601","168","678","7",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",2886606,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"346",2675000,89,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,2,4,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q4",2019-11-06,"4601/168/678/22","4601","168","678","22",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",1325981,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"347",2670000,92,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,2,2,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q2",2022-05-31,"4601/168/678/24","4601","168","678","24",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",578059,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"348",2550000,91,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,3,4,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q4",2021-10-27,"4601/168/678/27","4601","168","678","27",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",1343349,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"349",3090000,91,1930,1,"Lightgreen",444.36,"Mur/tegl","Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,1,5,"0.0",3,1,1,1,0,"Kjelleretasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q4",2021-12-14,"4601/168/678/31","4601","168","678","31",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",1568397,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6"
"350",5190000,67,1955,2,"Orange",385.24,"Tre","Fritt salg","Tomannsbolig",1,"440.1",0,0,0,0,0,0,0,1,"143.0","0.0","143.0","0.0",0,1,1,"143.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-05,"4601/11/132/NA","4601","11","132","NA",139391942,"Nattlandsåsen 13","nattlandsåsen",13,NA,NA,"5231","Småhus",484423,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6728542.04","-30829.23"
"352",5990000,35,1987,3,"Orange",248.72,"Tre","Fritt salg","Frittliggende enebolig",1,"737.9",0,0,0,0,0,0,0,2,"269.0","0.0","269.0","0.0",0,1,1,"60.0",2,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-03-15,"4624/8/473/NA","4624","8","473","NA",9775668,"Lerkevegen 33","lerkevegen",33,NA,"H0101","5212","Småhus",288500,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6716368.39","-27155.86"
"356",5990000,35,1987,3,"Orange",248.72,"Tre","Fritt salg","Frittliggende enebolig",1,"737.9",0,0,0,0,0,0,0,2,"269.0","0.0","269.0","0.0",0,1,1,"209.0",5,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-03-15,"4624/8/473/NA","4624","8","473","NA",9775668,"Lerkevegen 33","lerkevegen",33,NA,"H0101","5212","Småhus",288500,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6716368.39","-27155.86"
"360",4050000,17,2005,4,"Red",180.37,"Tre","Fritt salg","Tomannsbolig",1,"4087.3",1,0,0,0,0,0,0,1,"140.0","0.0","140.0","0.0",0,1,1,"140.0",5,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-03,"4627/14/411/3","4627","14","411","3",22991337,"Peragjerdet 24","peragjerdet",24,NA,"H0101","5308","Småhus",473975,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6739429.41","-39031.91"
"362",4700000,12,2008,4,"Lightgreen",163.88,"Tre","Tvangssalg","Blokkleilighet",1,"163.6",0,0,0,0,1,0,0,4,"316.0","0.0","316.0","0.0",1,2,2,"0.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-05,"4601/166/851/4","4601","166","851","4",139301129,"Grønnevollen 7","grønnevollen",7,NA,"H0101","5016","Småhus",2192457,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734111.74","-31667.12"
"364",3290000,12,2008,4,"Lightgreen",163.88,"Tre","Fritt salg","Blokkleilighet",1,"163.6",0,0,0,0,1,0,0,4,"316.0","0.0","316.0","0.0",1,1,1,"0.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-08-18,"4601/166/851/1","4601","166","851","1",139301129,"Grønnevollen 7","grønnevollen",7,NA,"H0101","5016","Småhus",2885768,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734111.74","-31667.12"
"365",3875000,13,2008,4,"Lightgreen",163.88,"Tre","Fritt salg","Blokkleilighet",1,"163.6",0,0,0,0,1,0,0,4,"316.0","0.0","316.0","0.0",1,1,2,"0.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-30,"4601/166/851/2","4601","166","851","2",139301129,"Grønnevollen 7","grønnevollen",7,NA,"H0101","5016","Småhus",931913,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734111.74","-31667.12"
"367",3400000,12,2008,4,"Red",145.47,"Betong","Fritt salg","Blokkleilighet",1,"5802.5",0,0,0,0,0,0,0,12,"1159.0","0.0","1159.0","0.0",0,2,2,"64.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-11-09,"4601/140/231/6","4601","140","231","6",25170636,"Leirvikneset 2 A","leirvikneset",2,"A","H0203","5179","Boligblokker",3304493,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734005.55","-38875.87"
"369",5250000,13,2008,4,"Red",145.47,"Betong","Fritt salg","Blokkleilighet",1,"5802.5",0,0,0,0,0,0,0,12,"1159.0","0.0","1159.0","0.0",0,2,3,"97.0",4,2,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-05,"4601/140/231/7","4601","140","231","7",25170636,"Leirvikneset 2 A","leirvikneset",2,"A","H0203","5179","Boligblokker",818744,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734005.55","-38875.87"
"370",3150000,11,2008,4,"Red",145.47,"Betong","Fritt salg","Uoppgitt",1,"5802.5",0,0,0,0,0,0,0,12,"1159.0","0.0","1159.0","0.0",0,1,2,"75.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-01,"4601/140/231/2","4601","140","231","2",25170636,"Leirvikneset 2 A","leirvikneset",2,"A","H0203","5179","Boligblokker",884994,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734005.55","-38875.87"
"371",6490000,11,2008,4,"Red",145.47,"Betong","Fritt salg","Blokkleilighet",1,"5802.5",0,0,0,0,0,0,0,12,"1159.0","0.0","1159.0","0.0",0,4,2,"93.0",3,1,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-10,"4601/140/231/12","4601","140","231","12",25170636,"Leirvikneset 2 A","leirvikneset",2,"A","H0203","5179","Boligblokker",532604,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734005.55","-38875.87"
"372",3500000,123,1898,1,"Red",743.03,"Tre","Fritt salg","Blokkleilighet",1,"159.9",0,0,0,0,1,0,0,7,"382.0","0.0","382.0","0.0",1,2,1,"46.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-16,"4601/166/762/3","4601","166","762","3",139300491,"Skivebakken 20 A","skivebakken",20,"A","H0201","5018","Boligblokker",883866,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734265.41","-31436.5"
"374",3130000,121,1898,1,"Red",743.03,"Tre","Fritt salg","Blokkleilighet",1,"159.9",0,0,0,0,1,0,0,7,"382.0","0.0","382.0","0.0",1,3,3,"47.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-11,"4601/166/762/6","4601","166","762","6",139300491,"Skivebakken 20 A","skivebakken",20,"A","H0201","5018","Boligblokker",1061386,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734265.41","-31436.5"
"375",2150000,122,1898,1,"Red",743.03,"Tre","Fritt salg","Blokkleilighet",1,"159.9",0,0,0,0,1,0,0,7,"382.0","0.0","382.0","0.0",1,1,2,"25.0",1,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-12-07,"4601/166/762/2","4601","166","762","2",139300491,"Skivebakken 20 A","skivebakken",20,"A","H0201","5018","Boligblokker",3450982,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734265.41","-31436.5"
"376",3450000,122,1898,1,"Red",743.03,"Tre","Fritt salg","Blokkleilighet",1,"159.9",0,0,0,0,1,0,0,7,"382.0","0.0","382.0","0.0",1,3,1,"56.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-02-25,"4601/166/762/7","4601","166","762","7",139300491,"Skivebakken 20 A","skivebakken",20,"A","H0201","5018","Boligblokker",2149730,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734265.41","-31436.5"
"378",2450000,119,1900,1,"Red",394.31,"Mur/tegl","Fritt salg","Annet",1,"275.8",0,0,0,0,0,0,0,7,"451.0","0.0","451.0","0.0",0,1,2,"34.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-11,"4601/167/442/4","4601","167","442","4",139313550,"Ladegårdsgaten 19","ladegårdsgaten",19,NA,NA,"5033","Boligblokker",658012,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6735218.7","-31736.23"
"380",5690000,122,1900,1,"Red",394.31,"Mur/tegl","Fritt salg","Blokkleilighet",1,"275.8",0,0,0,0,0,0,0,7,"451.0","0.0","451.0","0.0",0,2,1,"92.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-12-28,"4601/167/442/6","4601","167","442","6",139313550,"Ladegårdsgaten 19","ladegårdsgaten",19,NA,NA,"5033","Boligblokker",1469588,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6735218.7","-31736.23"
"382",2450000,119,1900,1,"Red",394.31,"Mur/tegl","Fritt salg","Blokkleilighet",1,"275.8",0,0,0,0,0,0,0,7,"451.0","0.0","451.0","0.0",0,1,1,"32.0",1,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-16,"4601/167/442/2","4601","167","442","2",139313550,"Ladegårdsgaten 19","ladegårdsgaten",19,NA,NA,"5033","Boligblokker",1223136,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6735218.7","-31736.23"
"383",4900000,121,1900,1,"Red",394.31,"Mur/tegl","Fritt salg","Blokkleilighet",1,"275.8",0,0,0,0,0,0,0,7,"451.0","0.0","451.0","0.0",0,2,2,"66.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-15,"4601/167/442/5","4601","167","442","5",139313550,"Ladegårdsgaten 19","ladegårdsgaten",19,NA,NA,"5033","Boligblokker",714956,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6735218.7","-31736.23"
"384",2850000,121,1900,1,"Red",394.31,"Mur/tegl","Fritt salg","Blokkleilighet",1,"275.8",0,0,0,0,0,0,0,7,"451.0","0.0","451.0","0.0",0,1,3,"32.0",1,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-04,"4601/167/442/3","4601","167","442","3",139313550,"Ladegårdsgaten 19","ladegårdsgaten",19,NA,NA,"5033","Boligblokker",817196,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6735218.7","-31736.23"
"385",2280000,90,1929,1,"Red",380.83,"Tre","Fritt salg","Blokkleilighet",1,"798.7",0,0,0,0,0,0,0,10,"702.0","0.0","702.0","0.0",0,1,3,"47.0",2,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-25,"4601/156/36/3","4601","156","36","3",139636449,"Carl Konows gate 20","carl konows gate",20,NA,"H0103","5162","Boligblokker",1124941,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733565.2","-33028.72"
"386",3270000,91,1929,1,"Red",380.83,"Tre","Fritt salg","Blokkleilighet",1,"798.7",0,0,0,0,0,0,0,10,"702.0","0.0","702.0","0.0",0,2,3,"78.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-12-02,"4601/156/36/9","4601","156","36","9",139636449,"Carl Konows gate 20","carl konows gate",20,NA,"H0103","5162","Boligblokker",3424901,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733565.2","-33028.72"
"388",2660000,91,1929,1,"Red",380.83,"Tre","Fritt salg","Blokkleilighet",1,"798.7",0,0,0,0,0,0,0,10,"702.0","0.0","702.0","0.0",0,1,1,"55.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-08-11,"4601/156/36/7","4601","156","36","7",139636449,"Carl Konows gate 20","carl konows gate",20,NA,"H0103","5162","Boligblokker",2856696,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733565.2","-33028.72"
"389",2590000,91,1929,1,"Red",380.83,"Tre","Fritt salg","Annet",1,"798.7",0,0,0,0,0,0,0,10,"702.0","0.0","702.0","0.0",0,1,3,"59.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-26,"4601/156/36/5","4601","156","36","5",139636449,"Carl Konows gate 20","carl konows gate",20,NA,"H0103","5162","Boligblokker",2658098,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733565.2","-33028.72"
"390",1300000,18,2003,4,"Orange",165.28,"Betong","Opphør av samboerskap","Tomannsbolig",1,"473.3",0,0,0,0,0,0,0,1,"200.0","0.0","200.0","0.0",0,1,1,"200.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-05-26,"4601/47/118/NA","4601","47","118","NA",20763671,"Lilletveitvegen 80","lilletveitvegen",80,NA,"H0101","5228","Småhus",614515,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6724380.05","-30647.61"
"391",2810000,18,2002,5,"Red",180.99,"Betong","Fritt salg","Blokkleilighet",1,"703.6",0,0,0,0,0,0,0,4,"340.0","0.0","340.0","0.0",0,1,1,"93.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-10-27,"4626/58/76/4","4626","58","76","4",22575570,"Kvednhaugen 62 A","kvednhaugen",64,"B","U0101","5357","Småhus",3237685,"Rekkehus","Bolig","Bolig","6729813.59","-46829.25"
"393",2100000,19,2002,5,"Red",180.99,"Betong","Fritt salg","Blokkleilighet",1,"703.6",0,0,0,0,0,0,0,4,"340.0","0.0","340.0","0.0",0,1,1,"68.0",2,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-10-05,"4626/58/76/1","4626","58","76","1",22575570,"Kvednhaugen 62 A","kvednhaugen",62,"A","U0101","5357","Småhus",1233548,"Rekkehus","Bolig","Bolig","6729813.59","-46829.25"
