"","P","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest","Andelsnummer","InternIdBruksenhet"
"1000",3250000,29,1992,3,"E","Orange",2,228.38,"Tre",4,"Fritt salg","Blokkleilighet",1,"2837.4",1,0,0,0,0,0,10,"864.0","0.0","864.0","0.0",0,1,1,"83.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-02-03,"4601/40/1554/1",4601,40,1554,"1",9524533,"Tranevegen 74","tranevegen",58,NA,"H0201","5238","Småhus",140407,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6724264.36","-31982.62",12,4814168
"1001",3410000,29,1992,3,"E","Orange",2,228.38,"Tre",4,"Fritt salg","Blokkleilighet",1,"2837.4",1,0,0,0,0,0,10,"864.0","0.0","864.0","0.0",0,1,1,"83.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-12-15,"4601/40/1554/4",4601,40,1554,"4",9524533,"Tranevegen 74","tranevegen",64,NA,"H0201","5238","Småhus",1578387,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6724264.36","-31982.62",8,4814165
"1002",3930000,6,2015,6,"B","Red",1,125.38,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"221.1",0,0,0,0,0,0,1,"134.0","0.0","134.0","107.0",0,1,1,"134.0",5,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2021,"2021Q2",2021-06-04,"4626/51/382/NA",4626,51,382,"NA",300509960,"Hellemyrvegen 48","helletoppen",48,NA,NA,"5177","Småhus",668313,"Rekkehus","Bolig","Bolig","6727130.66","-41195.57",6,6551002
"1006",1940000,121,1900,1,"G","Red",1,940.07,"Tre",4,"Fritt salg","Blokkleilighet",1,"178.1",0,0,0,0,0,0,5,"207.0","0.0","207.0","0.0",0,1,2,"0.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-24,"4601/158/430/2",4601,158,430,"2",139216083,"Granbakken 2","granbakken",2,NA,"H0102","5055","Småhus",1481487,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6732434.91","-31783.31",5,4844290
"1008",2450000,6,2015,4,"D","Orange",2,157.93,"Tre",4,"Fritt salg","Blokkleilighet",1,"1210.0",0,0,0,0,0,0,4,"398.0","0.0","398.0","243.0",0,1,1,"105.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-15,"4630/1/18/1",4630,1,18,"1",300436540,"Loftåsrinden 23","loftåsrinden",21,NA,"H0201","5281","Boligblokker",433111,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6746449.91","-23436.96",4,6411041
"1010",2450000,6,2015,4,"D","Orange",2,157.93,"Tre",4,"Fritt salg","Blokkleilighet",1,"1210.0",0,0,0,0,0,0,4,"398.0","0.0","398.0","243.0",0,2,1,"94.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-01-26,"4630/1/18/3",4630,1,18,"3",300436540,"Loftåsrinden 23","loftåsrinden",23,NA,"H0201","5281","Boligblokker",101543,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6746449.91","-23436.96",6,6411042
"1011",1050000,4,2017,4,"D","Orange",2,136.09,"Tre",4,"Fritt salg","Blokkleilighet",1,"1642.6",0,0,0,0,0,0,4,"378.0","0.0","378.0","251.3",0,1,1,"94.5",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-02-15,"4632/156/284/1",4632,156,284,"1",300615121,"Blomhaugane 66 C","blomhaugane",66,"A",NA,"5943","Boligblokker",187521,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6779429.09","-48196.5",4,6763689
"1013",2425000,5,2016,6,"B","Orange",2,120.49,"Tre",4,"Fritt salg","Blokkleilighet",1,"699.3",0,0,0,0,0,0,4,"366.0","0.0","366.0","170.0",0,1,1,"75.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-23,"4627/12/1785/1",4627,12,1785,"1",300283259,"Marikovvegen 15 C","marikovvegen",15,"A",NA,"5302","Småhus",473622,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6735963.57","-40131.2",3,6137549
"1015",4260000,32,1989,3,"E","Orange",2,228.59,"Tre",4,"Fritt salg","Blokkleilighet",1,"4241.9",1,0,0,0,0,0,6,"795.0","0.0","795.0","0.0",0,3,1,"127.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-05-04,"4601/29/426/7",4601,29,426,"7",9472231,"Bjørgebrekken 60","bjørgebrekken",72,NA,NA,"5141","Småhus",521745,"Terrassehus","Bolig","Bolig","6728852.76","-37181.87",9,4805220
"1017",2990000,5,2016,4,"D","Orange",2,127.21,"Tre",4,"Fritt salg","Blokkleilighet",1,"2027.6",0,0,0,0,0,0,12,"1185.0","0.0","1185.0","844.0",0,2,1,"115.0",5,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-09-22,"4626/27/681/10",4626,27,681,"10",300545591,"Valderhaug 50 B","valderhaug",56,"B","H0201","5363","Boligblokker",1173739,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6738293.67","-50020.8",6,6620317
"1027",2150000,9,2012,6,"B","Orange",2,104.29,"Tre",4,"Fritt salg","Blokkleilighet",1,"10520.0",1,0,0,0,0,0,8,"424.0","0.0","424.0","246.0",0,1,1,"53.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-26,"4624/51/519/17",4624,51,519,"17",300274839,"Brothaugen 4 D","brothaugen",4,"E",NA,"5209","Boligblokker",482026,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6709263.21","-28269.39",3,6122982
"1029",3950000,6,2015,5,"C","Green",5,123.41,"Tre",4,"Fritt salg","Blokkleilighet",1,"9427.9",1,0,0,0,0,0,18,"1740.0","0.0","1740.0","900.0",0,2,3,"88.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-12-07,"4601/42/710/46",4601,42,710,"46",300321724,"Sundts veg 13 C","sundts veg",13,"A","H0101","5221","Boligblokker",1539870,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6725871.59","-32144.06",3,6207040
"1035",3500000,6,2015,5,"C","Green",5,123.41,"Tre",4,"Fritt salg","Blokkleilighet",1,"9427.9",1,0,0,0,0,0,18,"1740.0","0.0","1740.0","900.0",0,1,1,"88.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-01-14,"4601/42/710/40",4601,42,710,"40",300321724,"Sundts veg 13 C","sundts veg",13,"E","H0101","5221","Boligblokker",55969,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6725871.59","-32144.06",5,6207046
"1036",3720000,6,2015,5,"C","Green",5,123.41,"Tre",4,"Fritt salg","Blokkleilighet",1,"9427.9",1,0,0,0,0,0,18,"1740.0","0.0","1740.0","900.0",0,1,1,"88.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-30,"4601/42/710/42",4601,42,710,"42",300321724,"Sundts veg 13 C","sundts veg",13,"G","H0101","5221","Boligblokker",511052,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6725871.59","-32144.06",4,6207048
"1043",4190000,110,1911,1,"G","Red",1,465.46,"Betong",1,"Fritt salg","Blokkleilighet",1,"125.4",0,0,0,0,0,0,6,"474.0","0.0","474.0","0.0",0,3,2,"78.0",3,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-15,"4601/168/522/5",4601,168,522,"5",139328310,"Ekrebakken 5","ekrebakken",5,NA,"H0102","5036","Boligblokker",878342,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6735931.94","-31658.83",6,4873533
"1052",4290000,9,2012,5,"C","Green",5,128.07,"Betong",1,"Fritt salg","Blokkleilighet",1,"4550.7",1,0,0,0,0,0,21,"2156.0","0.0","2156.0","665.0",0,2,4,"87.0",3,1,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-08,"4601/120/478/10",4601,120,478,"10",300087515,"Vindharpevegen 6 B","vindharpevegen",6,"B","H0101","5237","Boligblokker",680537,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724174.78","-34329.2",7,5791621
"1053",3450000,9,2012,5,"C","Green",5,128.07,"Betong",1,"Fritt salg","Blokkleilighet",1,"4550.7",1,0,0,0,0,0,21,"2156.0","0.0","2156.0","665.0",0,2,2,"70.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-05-10,"4601/120/478/8",4601,120,478,"8",300087515,"Vindharpevegen 6 B","vindharpevegen",6,"B","H0101","5237","Boligblokker",552409,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724174.78","-34329.2",4,6150061
"1057",2680000,8,2013,6,"B","Green",5,95.63,"Betong",1,"Fritt salg","Blokkleilighet",1,"4448.2",0,0,0,0,0,0,23,"1920.0","0.0","1920.0","554.0",0,4,4,"52.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-02-01,"4624/52/502/62",4624,52,502,"62",300147232,"Mobergsbakken 14","mobergsbakken",14,NA,"H0104","5200","Boligblokker",122124,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6709825.05","-27553.36",7,5892981
"1059",4490000,8,2013,6,"B","Green",5,95.63,"Betong",1,"Fritt salg","Blokkleilighet",1,"4448.2",0,0,0,0,0,0,23,"1920.0","0.0","1920.0","554.0",0,2,5,"83.0",3,1,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-09-14,"4624/52/502/53",4624,52,502,"53",300147232,"Mobergsbakken 14","mobergsbakken",14,NA,"H0104","5200","Boligblokker",1137114,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6709825.05","-27553.36",4,5892972
"1065",2300000,15,2006,4,"D","Red",1,162.04,"Betong",1,"Fritt salg","Blokkleilighet",1,"5617.2",1,0,0,0,0,0,14,"1198.0","0.0","1198.0","0.0",0,3,4,"50.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-02-18,"4601/87/57/12",4601,87,57,"12",23583410,"Apeltunlien 6","apeltunlien",6,NA,"H0102","5238","Boligblokker",203873,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6723261.63","-32597.95",5,4831753
"1069",3900000,4,2017,5,"C","Red",1,120.77,"Betong",1,"Fritt salg","Blokkleilighet",1,"41298.6",1,0,0,0,1,0,8,"767.0","0.0","767.0","376.0",0,1,1,"81.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-12,"4601/29/563/2",4601,29,563,"2",300359770,"Bjørgelien 11 H","bjørgelien",11,"A","H0301","5141","Boligblokker",1429603,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6728920.41","-37028.87",4,6514790
"1072",3950000,4,2017,5,"C","Red",1,120.77,"Betong",1,"Fritt salg","Blokkleilighet",1,"41298.6",1,0,0,0,1,0,8,"767.0","0.0","767.0","376.0",0,2,1,"81.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-05-04,"4601/29/563/6",4601,29,563,"6",300359770,"Bjørgelien 11 H","bjørgelien",11,"C","H0301","5141","Boligblokker",524234,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6728920.41","-37028.87",4,6848169
"1073",3750000,4,2017,5,"C","Red",1,116.53,"Betong",1,"Fritt salg","Blokkleilighet",1,"41298.6",1,0,0,0,1,0,10,"870.0","0.0","870.0","372.0",0,1,4,"77.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-01,"4601/29/563/50",4601,29,563,"50",300360324,"Bjørgelien 19","bjørgelien",19,NA,"H0301","5141","Boligblokker",1366271,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6728920.41","-37028.87",5,6270455
"1074",3450000,4,2017,5,"C","Red",1,116.53,"Betong",1,"Fritt salg","Blokkleilighet",1,"41298.6",1,0,0,0,1,0,10,"870.0","0.0","870.0","372.0",0,2,2,"77.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-18,"4601/29/563/59",4601,29,563,"59",300360324,"Bjørgelien 19","bjørgelien",19,NA,"H0301","5141","Boligblokker",740560,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6728920.41","-37028.87",4,6270458
"1076",3700000,4,2017,5,"C","Red",1,116.53,"Betong",1,"Fritt salg","Blokkleilighet",1,"41298.6",1,0,0,0,1,0,10,"870.0","0.0","870.0","372.0",0,1,1,"77.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-09-14,"4601/29/563/53",4601,29,563,"53",300360324,"Bjørgelien 19","bjørgelien",19,NA,"H0301","5141","Boligblokker",1133128,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6728920.41","-37028.87",5,6848373
"1079",3450000,4,2017,5,"C","Red",1,116.87,"Betong",1,"Fritt salg","Blokkleilighet",1,"41298.6",1,0,0,0,1,0,9,"720.0","0.0","720.0","293.0",0,1,1,"65.0",2,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-05-07,"4601/29/563/47",4601,29,563,"47",300360317,"Bjørgelien 17","bjørgelien",17,NA,"H0203","5141","Boligblokker",545676,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6728920.41","-37028.87",3,6270443
"1082",3850000,111,1910,2,"F","Red",1,263.53,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"123.6",0,0,0,0,0,0,6,"451.0","0.0","451.0","0.0",0,3,2,"92.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-01-15,"4601/168/521/6",4601,168,521,"6",139328302,"Ekrebakken 3","ekrebakken",3,NA,"H0201","5036","Boligblokker",60696,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6735919.34","-31655.49",10,4873527
"1090",3300000,102,1919,1,"G","Red",1,424.69,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"186.3",0,0,0,0,0,0,11,"530.0","0.0","530.0","0.0",0,3,1,"0.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-05,"4601/164/764/7",4601,164,764,"7",139280113,"Fredrik Meltzers gate 38","fredrik meltzers gate",38,NA,"H0202","5007","Boligblokker",819023,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733528.48","-31858.3",3,4859314
"1103",3050000,29,1992,4,"D","Red",1,172.16,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"155.2",0,0,0,0,0,0,17,"1307.0","0.0","1307.0","0.0",0,1,3,"36.0",1,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-01,"4601/164/383/3",4601,164,383,"3",9505245,"Tullins gate 10","tullins gate",10,NA,"H0202","5006","Boligblokker",641870,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733558.01","-32310.92",6,4810976
"1105",3360000,29,1992,4,"D","Red",1,172.16,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"155.2",0,0,0,0,0,0,17,"1307.0","0.0","1307.0","0.0",0,5,1,"61.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-09-07,"4601/164/383/14",4601,164,383,"14",9505245,"Tullins gate 10","tullins gate",10,NA,"H0202","5006","Boligblokker",1103930,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733558.01","-32310.92",5,4810967
"1110",5400000,92,1929,1,"G","Yellow",3,297.32,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"281.1",0,0,0,0,0,0,3,"284.0","0.0","284.0","0.0",0,2,1,"118.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-15,"4601/162/507/3",4601,162,507,"3",139259750,"Hulda Garborgs gate 6","hulda garborgs gate",6,NA,"U0101","5052","Boligblokker",437214,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6731914.23","-31048.69",8,4853680
"1113",3200000,125,1896,1,"G","Red",1,316.5,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"168.5",0,0,0,0,1,0,9,"621.0","0.0","621.0","0.0",0,2,1,"0.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-05-07,"4601/167/670/4",4601,167,670,"4",139315405,"Hans Hauges gate 8 A","hans hauges gate",8,"A","L0101","5033","Boligblokker",544813,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6735206.09","-31806.8",14,4869842
"1117",4600000,7,2014,4,"D","Green",5,152.38,"Tre",4,"Fritt salg","Blokkleilighet",1,"5362.1",1,0,0,0,0,0,46,"4039.0","0.0","4039.0","890.0",0,4,3,"70.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-09-10,"4601/160/1059/91",4601,160,1059,"91",300355449,"Vilhelm Bjerknes' vei 58 D","vilhelm bjerknes' vei",58,"C","H0101","5081","Boligblokker",1121115,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729043.42","-30771.97",10,6262723
"1123",4100000,7,2014,4,"D","Green",5,152.38,"Tre",4,"Fritt salg","Uoppgitt",1,"5362.1",1,0,0,0,0,0,46,"4039.0","0.0","4039.0","890.0",0,3,4,"78.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-07,"4601/160/1059/83",4601,160,1059,"83",300355449,"Vilhelm Bjerknes' vei 58 D","vilhelm bjerknes' vei",58,"C","H0101","5081","Boligblokker",837466,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729043.42","-30771.97",4,6353843
"1126",4375000,7,2014,4,"D","Green",5,152.38,"Tre",4,"Fritt salg","Blokkleilighet",1,"5362.1",1,0,0,0,0,0,46,"4039.0","0.0","4039.0","890.0",0,2,3,"70.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-08-02,"4601/160/1059/77",4601,160,1059,"77",300355449,"Vilhelm Bjerknes' vei 58 D","vilhelm bjerknes' vei",58,"C","H0101","5081","Boligblokker",941972,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729043.42","-30771.97",5,6353837
"1127",2950000,7,2014,4,"D","Green",5,152.38,"Tre",4,"Fritt salg","Blokkleilighet",1,"5362.1",1,0,0,0,0,0,46,"4039.0","0.0","4039.0","890.0",0,1,4,"54.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-08,"4601/160/1059/64",4601,160,1059,"64",300355449,"Vilhelm Bjerknes' vei 58 D","vilhelm bjerknes' vei",58,"C","H0101","5081","Boligblokker",842808,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729043.42","-30771.97",5,6353824
"1135",3360000,17,2004,3,"E","Red",1,180.52,"Tre",4,"Fritt salg","Blokkleilighet",1,"4613.5",0,0,0,0,0,0,9,"609.0","0.0","609.0","0.0",0,2,1,"74.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-13,"4601/159/628/15",4601,159,628,"15",20776145,"Kristian Bings vei 33","kristian bings vei",47,NA,"H0101","5073","Boligblokker",867284,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6731020.09","-31733.24",7,4828953
"1150",3300000,9,2012,6,"B","Green",5,102.51,"Betong",1,"Fritt salg","Uoppgitt",1,"2393.7",0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,3,2,"38.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-06,"4601/158/856/29",4601,158,856,"29",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",827138,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81",8,6078860
"1159",3200000,9,2012,6,"B","Green",5,102.51,"Betong",1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,3,8,"38.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-08-16,"4601/158/856/35",4601,158,856,"35",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",996361,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81",4,6078866
"1161",3870000,9,2012,6,"B","Green",5,102.51,"Betong",1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,2,6,"64.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-02,"4601/158/856/23",4601,158,856,"23",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",1372500,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81",5,6078854
"1173",2070000,15,2006,5,"C","Red",1,121.04,"Betong",1,"Fritt salg","Blokkleilighet",1,"5367.5",1,0,0,0,0,0,18,"1474.0","0.0","1474.0","0.0",0,1,1,"43.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-08-06,"4601/36/536/35",4601,36,536,"35",23617242,"Nordeidbrekka 3D","nordeidbrekka",3,"F",NA,"5252","Boligblokker",964453,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6725777.93","-35808.29",5,4834181
"1174",3200000,15,2006,5,"C","Red",1,121.04,"Betong",1,"Fritt salg","Blokkleilighet",1,"5367.5",1,0,0,0,0,0,18,"1474.0","0.0","1474.0","0.0",0,2,1,"88.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-02-02,"4601/36/536/24",4601,36,536,"24",23617242,"Nordeidbrekka 3D","nordeidbrekka",3,"D",NA,"5252","Boligblokker",131439,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6725777.93","-35808.29",5,4834194
"1176",7300000,5,2016,5,"C","Orange",2,148.98,"Tre",4,"Fritt salg","Tomannsbolig",1,"1270.4",0,0,0,0,0,0,1,"238.0","0.0","238.0","98.0",0,1,1,"238.0",6,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-03-02,"4601/42/944/3",4601,42,944,"3",300411649,"Nesttunbrekka 33 C","nesttunbrekka",33,"C",NA,"5221","Småhus",252576,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6725505.1","-31720.12",5,6362291
"1179",5765000,5,2016,5,"C","Green",5,122.61,"Betong",1,"Fritt salg","Blokkleilighet",2,"3554.9",0,0,0,0,0,0,15,"1744.0","0.0","1744.0","1.0",0,4,4,"85.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-08-13,"4601/158/62/20",4601,158,62,"20",300387775,"Damsgårdsveien 37","damsgårdsveien",37,NA,"H0405","5058","Boligblokker",993392,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732726.89","-31962.67",4,6318233
"1184",6100000,5,2016,5,"C","Green",5,122.61,"Betong",1,"Fritt salg","Uoppgitt",1,"3554.9",0,0,0,0,0,0,15,"1744.0","0.0","1744.0","1.0",0,3,1,"85.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-10-19,"4601/158/62/14",4601,158,62,"14",300387775,"Damsgårdsveien 37","damsgårdsveien",37,NA,"H0405","5058","Boligblokker",1305499,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732726.89","-31962.67",4,6318225
