"","P","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest","Andelsnummer","InternIdBruksenhet"
"53",3490000,131,1890,1,"G","Red",1,380.92,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"207.8",0,0,0,0,0,0,10,"519.0","0.0","519.0","0.0",0,2,1,"44.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-10-29,"4601/164/660/4",4601,164,660,"4",139279239,"Fosswinckels gate 39","fosswinckels gate",39,NA,NA,"5008","Boligblokker",1356103,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6733652.4","-31890.95",5,4858923
"55",2450000,14,2007,4,"D","Red",1,185.4,"Betong",1,"Fritt salg","Tomannsbolig",1,"4067.5",1,1,0,0,0,0,2,"221.0","0.0","221.0","0.0",0,1,1,"79.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-03-09,"4624/36/15/3",4624,36,15,"3",25374649,"Skeisstøa 49 D","skeisstøa",49,"D","U0101","5217","Småhus",284458,"Tomannsbolig, horisontaldelt","Bolig","Bolig","6708933.65","-30819.18",8,2361078
"58",4050000,137,1884,1,"G","Red",1,655.4,"Tre",4,"Fritt salg","Blokkleilighet",1,"97.6",0,0,0,0,1,0,4,"232.0","0.0","232.0","0.0",1,1,1,"60.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-29,"4601/167/1468/2",4601,167,1468,"2",139322568,"WESENBERGSMAUET 11 A","wesenbergsmauet",11,"A",NA,"5003","Småhus",501022,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6735005.55","-31798.84",9,4871910
"61",2450000,15,2006,4,"D","Red",1,242.29,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"364.8",0,0,0,0,0,0,4,"215.0","0.0","215.0","0.0",0,3,1,"0.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-12-10,"4601/158/662/4",4601,158,662,"4",139218442,"NORDRE SKOGVEIEN 23","nordre skogveien",23,NA,NA,"5057","Småhus",1558452,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6732703.98","-32180.81",7,4844891
"65",2200000,13,2008,4,"D","Red",1,167.61,"Betong",1,"Fritt salg","Blokkleilighet",1,"5820.0",0,0,0,0,0,0,6,"707.0","0.0","707.0","0.0",0,2,2,"77.0",3,1,1,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q2",2021-05-14,"4626/8/95/10",4626,8,95,"10",24660745,"Halsvardtjørna 26 C","halsvardtjørna",24,"B","H0301","5357","Boligblokker",572202,"Terrassehus","Bolig","Bolig","6729600.42","-49188.67",7,553001
"68",1980000,63,1958,2,"F","Orange",2,321.46,"Betong",1,"Fritt salg","Blokkleilighet",1,"347.7",0,0,0,0,0,0,11,"895.0","0.0","895.0","0.0",0,2,2,"38.0",1,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-19,"4601/158/279/5",4601,158,279,"5",139214528,"LØBERGSVEIEN 31","løbergsveien",31,NA,NA,"5054","Boligblokker",450688,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732176.57","-31641.51",5,4843878
"72",3750000,63,1958,2,"F","Orange",2,321.46,"Betong",1,"Fritt salg","Blokkleilighet",1,"347.7",0,0,0,0,0,0,11,"895.0","0.0","895.0","0.0",0,1,1,"93.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-27,"4601/158/279/1",4601,158,279,"1",139214528,"LØBERGSVEIEN 31","løbergsveien",31,NA,NA,"5054","Boligblokker",485747,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6732176.57","-31641.51",11,4843881
"79",3150000,26,1995,4,"D","Red",1,181.94,"Betong",1,"Fritt salg","Blokkleilighet",1,"3338.7",0,0,0,0,0,0,34,"4244.0","0.0","4244.0","0.0",0,2,2,"60.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-12-10,"4601/168/1952/5",4601,168,1952,"5",9540105,"Lønborglien 286","lønborglien",286,NA,"H0202","5039","Boligblokker",1556240,"Terrassehus","Bolig","Bolig","6739252.67","-33109.28",6,4816349
"88",4350000,30,1991,4,"D","Red",1,171.22,"Betong",1,"Fritt salg","Blokkleilighet",1,"10964.4",1,0,0,0,0,0,31,"3504.0","0.0","3504.0","0.0",0,6,1,"139.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-03-01,"4601/11/676/71",4601,11,676,"71",9486550,"Nordre Nattlandsfjellet 104 A","nattlandsrinden",84,NA,"H0403","5098","Boligblokker",248811,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729075.64","-29895.8",14,4807895
"92",6100000,30,1991,4,"D","Red",1,171.22,"Betong",1,"Fritt salg","Blokkleilighet",1,"10964.4",1,0,0,0,0,0,31,"3504.0","0.0","3504.0","0.0",0,6,1,"139.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-12,"4601/11/676/70",4601,11,676,"70",9486550,"Nordre Nattlandsfjellet 104 A","nattlandsrinden",80,NA,"H0403","5098","Boligblokker",857090,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729075.64","-29895.8",10,7443337
