"","P","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak_num","BLEnergikWh","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"4295",4100000,7,2015,5,"C",5,124.75,1,"Fritt salg","Blokkleilighet",1,"7365.4",1,0,0,0,0,1,0,10,"950.0","0.0","950.0","352.0",0,2,3,"88.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-03-21,"4601/35/167/26","4601","35","167","26",300327608,"Ytrebygdsvegen 17","ytrebygdsvegen",17,NA,"H0203","5251","Boligblokker",310339,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6726606.15","-36228.62"
"4298",7e+06,19,2003,4,"D",2,175.21,4,"Fritt salg","Frittliggende enebolig",1,"192.4",0,0,0,0,0,0,0,1,"151.0","0.0","151.0","0.0",0,1,1,"151.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-04-19,"4601/50/336/NA","4601","50","336","NA",20771860,"Kirkebirkeland 85 B","kirkebirkeland",85,"B","H0101","5227","Småhus",415918,"Kjede/atriumhus","Bolig","Bolig","6724088.92","-30556.07"
"4299",2620000,4,2018,5,"C",1,126.99,4,"Fritt salg","Blokkleilighet",1,"11604.1",1,0,0,0,0,0,0,7,"520.0","0.0","520.0","290.0",0,2,1,"55.7",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-02-28,"4631/322/166/37","4631","322","166","37",300609775,"Mjåtveitmarka 56 C","mjåtveitmarka",56,"C","H0201","5918","Boligblokker",225113,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6748254.41","-35633.96"
"4300",6615000,55,1967,1,"G",2,313.11,4,"Fritt salg","Rekkehus/kjede",2,"139.2",0,0,0,0,0,0,0,1,"128.0","0.0","128.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-02,"4601/168/1798/NA","4601","168","1798","NA",139342666,"Nedre Lønborg 10","nedre lønborg",10,NA,"H0101","5039","Småhus",465450,"Rekkehus","Bolig","Bolig","6739712.67","-33347.07"
"4302",7150000,26,1996,2,"F",2,241.73,4,"Fritt salg","Frittliggende enebolig",1,"370.8",0,0,0,0,0,0,0,1,"169.0","0.0","169.0","0.0",0,1,1,"169.0",5,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-12-05,"4601/187/449/NA","4601","187","449","NA",9557067,"Haukedalen 197","haukedalen",197,NA,"H0101","5121","Småhus",1382402,"Enebolig","Bolig","Bolig","6742549.11","-32560.49"
"4304",6400000,3,2019,6,"B",5,113.38,1,"Fritt salg","Blokkleilighet",2,"0.0",0,0,0,0,0,0,0,45,"4893.0","0.0","4893.0","1588.0",0,2,3,"70.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-19,"4601/168/2152/7","4601","168","2152","7",300651801,"Nyhavn 6 C","nyhavn",6,"C","H0201","5042","Boligblokker",914218,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6737258.34","-32538.91"
"4328",3950000,3,2019,6,"B",5,113.38,1,"Fritt salg","Blokkleilighet",1,"0.0",0,0,0,0,0,0,0,45,"4893.0","0.0","4893.0","1588.0",0,4,3,"45.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-02,"4601/168/2152/19","4601","168","2152","19",300651801,"Nyhavn 6 C","nyhavn",6,"C","H0201","5042","Boligblokker",845993,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6737258.34","-32538.91"
"4332",3790000,3,2019,6,"B",5,113.38,1,"Fritt salg","Blokkleilighet",1,"0.0",0,0,0,0,0,0,0,45,"4893.0","0.0","4893.0","1588.0",0,2,8,"50.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-10-05,"4601/168/2152/24","4601","168","2152","24",300651801,"Nyhavn 6 C","nyhavn",6,"A","H0201","5042","Boligblokker",1121394,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6737258.34","-32538.91"
"4377",3900000,3,2019,6,"B",5,113.38,1,"Fritt salg","Blokkleilighet",1,"0.0",0,0,0,0,0,0,0,45,"4893.0","0.0","4893.0","1588.0",0,3,7,"46.0",2,1,1,0,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-09,"4601/168/2152/33","4601","168","2152","33",300651801,"Nyhavn 6 C","nyhavn",6,"A","H0201","5042","Boligblokker",499327,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6737258.34","-32538.91"
"4389",3900000,3,2019,6,"B",5,113.38,1,"Fritt salg","Blokkleilighet",1,"0.0",0,0,0,0,0,0,0,45,"4893.0","0.0","4893.0","1588.0",0,3,8,"50.0",2,1,1,0,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-07,"4601/168/2152/32","4601","168","2152","32",300651801,"Nyhavn 6 C","nyhavn",6,"A","H0201","5042","Boligblokker",610743,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6737258.34","-32538.91"
