"","P","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak_num","BLEnergikWh","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"1010",3550000,10,2012,4,"D",4,140,3,"Fritt salg","Blokkleilighet",1,"4328.1",1,0,0,0,0,0,0,25,"1853.0","0.0","1853.0","360.0",0,4,5,"43.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-26,"4601/158/87/40","4601","158","87","40",300281085,"Michael Krohns gate 75","michael krohns gate",75,NA,"H0404","5057","Boligblokker",1070225,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733136.07","-32443.98"
"1011",2900000,10,2012,4,"D",4,140,3,"Fritt salg","Blokkleilighet",1,"4328.1",1,0,0,0,0,0,0,25,"1853.0","0.0","1853.0","360.0",0,1,5,"43.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-25,"4601/158/87/25","4601","158","87","25",300281085,"Michael Krohns gate 75","michael krohns gate",75,NA,"H0404","5057","Boligblokker",563547,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733136.07","-32443.98"
"1018",2850000,17,2005,4,"D",4,227.05,4,"Fritt salg","Blokkleilighet",1,"12099.3",1,0,0,0,0,0,0,24,"1384.0","0.0","1384.0","0.0",0,2,1,"53.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-12-14,"4601/119/666/43","4601","119","666","43",23589133,"Harald Sæveruds veg 82H","harald sæveruds veg",82,"M",NA,"5237","Småhus",1419917,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6723798.33","-34353.15"
"1025",2520000,17,2005,4,"D",4,227.05,4,"Fritt salg","Blokkleilighet",1,"12099.3",1,0,0,0,0,0,0,24,"1384.0","0.0","1384.0","0.0",0,2,1,"40.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-02-03,"4601/119/666/46","4601","119","666","46",23589133,"Harald Sæveruds veg 82H","harald sæveruds veg",82,"P",NA,"5237","Småhus",135458,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6723798.33","-34353.15"
"1028",2500000,17,2005,4,"D",4,227.05,4,"Fritt salg","Blokkleilighet",1,"12099.3",1,0,0,0,0,0,0,24,"1384.0","0.0","1384.0","0.0",0,1,1,"40.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-12-02,"4601/119/666/33","4601","119","666","33",23589133,"Harald Sæveruds veg 82H","harald sæveruds veg",82,"C",NA,"5237","Småhus",1372424,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6723798.33","-34353.15"
"1029",3900000,17,2005,4,"D",4,227.05,4,"Fritt salg","Blokkleilighet",1,"12099.3",1,0,0,0,0,0,0,24,"1384.0","0.0","1384.0","0.0",0,2,1,"73.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-12-02,"4601/119/666/42","4601","119","666","42",23589133,"Harald Sæveruds veg 82H","harald sæveruds veg",82,"U",NA,"5237","Småhus",1372298,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6723798.33","-34353.15"
"1037",4350000,110,1912,2,"F",2,223.44,2,"Fritt salg","Blokkleilighet",1,"126.2",0,0,0,0,0,0,0,5,"454.0","0.0","454.0","124.0",0,3,1,"54.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-12-09,"4601/166/59/4","4601","166","59","4",139294203,"Småskansen 4","småskansen",4,NA,"H0201","5019","Boligblokker",1401036,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6734644.37","-31527.36"
"1045",5600000,21,2001,5,"C",1,134.97,1,"Fritt salg","Blokkleilighet",1,"4530.9",1,0,0,0,0,0,0,39,"4005.0","0.0","4005.0","1.0",0,6,2,"78.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-07-01,"4601/168/2020/82","4601","168","2020","82",20832606,"Måseskjærveien 2","måseskjærveien",4,NA,"H0403","5035","Boligblokker",718604,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736641.45","-31888.36"
"1049",5950000,21,2001,5,"C",1,134.97,1,"Fritt salg","Blokkleilighet",1,"4530.9",1,0,0,0,0,0,0,39,"4005.0","0.0","4005.0","1.0",0,2,1,"72.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-31,"4601/168/2020/57","4601","168","2020","57",20832606,"Måseskjærveien 2","måseskjærveien",2,NA,"H0403","5035","Boligblokker",961638,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736641.45","-31888.36"
"1050",6300000,21,2001,5,"C",1,134.97,1,"Fritt salg","Blokkleilighet",1,"4530.9",1,0,0,0,0,0,0,39,"4005.0","0.0","4005.0","1.0",0,5,2,"71.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-08,"4601/168/2020/77","4601","168","2020","77",20832606,"Måseskjærveien 2","måseskjærveien",4,NA,"H0403","5035","Boligblokker",1002632,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6736641.45","-31888.36"
"1053",3300000,10,2012,6,"B",1,94.01,1,"Fritt salg","Blokkleilighet",1,"6010.4",1,0,0,0,0,0,0,3,"240.0","0.0","240.0","118.0",0,1,1,"80.0",2,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-12-16,"4601/288/91/13","4601","288","91","13",300200994,"Oppetveiten 5 B","oppetveiten",5,"B","H0101","5262","Boligblokker",1433726,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6734724.57","-23350.15"
"1055",3530000,98,1924,1,"G",1,396.15,2,"Fritt salg","Blokkleilighet",1,"404.2",0,0,0,0,0,0,0,4,"241.0","0.0","241.0","0.0",0,2,1,"57.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-09,"4601/162/342/3","4601","162","342","3",139258169,"Ibsens gate 75","ibsens gate",75,NA,"U0101","5052","Boligblokker",499997,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6731946.69","-30930.87"
"1061",3900000,17,2005,5,"C",1,116.95,1,"Fritt salg","Blokkleilighet",1,"1152.7",0,0,0,0,0,0,0,18,"2328.0","0.0","2328.0","0.0",0,2,4,"75.0",3,1,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-01-14,"4601/216/388/6","4601","216","388","6",23602792,"Eidsvågveien 103","eidsvågveien",103,NA,"H0201","5105","Boligblokker",55417,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6739342.46","-32003.65"
"1068",2395000,16,2006,5,"C",2,151.23,4,"Opphør av samboerskap","Tomannsbolig",1,"412.6",0,0,0,0,0,0,0,1,"186.0","0.0","186.0","0.0",0,1,1,"186.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-11-14,"4624/51/57/NA","4624","51","57","NA",21723959,"Sollia 13","sollia",13,NA,"H0101","5209","Småhus",1289617,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6709506.3","-28402.07"
"1072",2780000,39,1983,2,"F",1,219.92,1,"Fritt salg","Blokkleilighet",1,"9920.8",1,0,0,0,0,0,0,20,"2388.0","0.0","2388.0","0.0",0,1,2,"68.0",2,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-02-17,"4601/143/597/30","4601","143","597","30",139730461,"Fæsteråsen 55","fæsteråsen",51,NA,"U0102","5184","Boligblokker",189619,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6733914.28","-37611.88"
"1073",14750000,52,1970,1,"G",5,307.9,2,"Fritt salg","Frittliggende enebolig",1,"2350.3",0,0,0,0,0,0,0,1,"291.0","0.0","291.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2022,"2022Q1",2022-01-10,"4601/9/195/NA","4601","9","195","NA",139384784,"Haakon Sæthres veg 4","haakon sæthres veg",4,NA,"H0101","5232","Småhus",30687,"Enebolig","Bolig","Bolig","6727159.51","-31229.62"
"1080",3700000,13,2009,5,"C",2,140.17,1,"Fritt salg","Rekkehus/kjede",1,"1067.9",1,0,0,0,0,0,0,1,"135.0","0.0","135.0","0.0",0,1,1,"135.0",6,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-10-25,"4631/185/331/7","4631","185","331","7",23986582,"Orresteinen 3 G","orresteinen",3,"G","H0101","5916","Småhus",1203501,"Rekkehus","Bolig","Bolig","6752583.18","-31867.69"
"1090",3450000,13,2009,4,"D",1,131.46,1,"Fritt salg","Blokkleilighet",1,"3447.8",0,0,0,0,0,0,0,6,"716.0","0.0","716.0","0.0",0,1,2,"90.0",2,1,1,1,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-22,"4601/12/283/15","4601","12","283","15",25170261,"Fantoftvegen 40 I","fantoftvegen",40,"I","H0101","5072","Boligblokker",1062350,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6728582.32","-31195.0"
"1102",2380000,10,2012,4,"D",2,147.71,1,"Fritt salg","Annet",1,"3019.2",0,1,0,0,0,0,0,6,"334.0","0.0","334.0","190.0",0,1,1,"51.0",2,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-21,"4627/4/135/5","4627","4","135","5",300271461,"Vardane 15 A","vardane",15,"C","U0101","5306","Boligblokker",670366,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6741508.18","-36761.39"
"1112",3620000,14,2008,5,"C",1,127.84,1,"Fritt salg","Blokkleilighet",1,"5802.5",0,0,0,0,0,0,0,15,"1159.0","0.0","1159.0","0.0",0,1,2,"76.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-10,"4601/140/231/14","4601","140","231","14",25170644,"Leirvikneset 2 B","leirvikneset",2,"B","H0102","5179","Boligblokker",502691,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734005.55","-38875.87"
"1116",2115000,14,2008,5,"C",1,127.84,1,"Fritt salg","Blokkleilighet",1,"5802.5",0,0,0,0,0,0,0,15,"1159.0","0.0","1159.0","0.0",0,1,1,"32.0",1,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-11-02,"4601/140/231/13","4601","140","231","13",25170644,"Leirvikneset 2 B","leirvikneset",2,"B","H0102","5179","Boligblokker",1243042,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734005.55","-38875.87"
"1143",3300000,18,2004,4,"D",1,141.48,1,"Fritt salg","Blokkleilighet",1,"4384.9",1,0,0,0,0,0,0,46,"4154.0","0.0","4154.0","0.0",0,3,6,"60.0",2,1,1,1,1,"Hovedetasje","Kjøkken",3,"Privat innlagt",1,"Offentlig kloakk",2022,"2022Q1",2022-03-28,"4601/123/518/23","4601","123","518","23",20767952,"Lyderhornslien 125","lyderhornslien",125,NA,"H0402","5178","Boligblokker",340103,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733198.37","-37191.09"
"1145",3150000,18,2004,4,"D",1,141.48,1,"Fritt salg","Blokkleilighet",1,"4384.9",1,0,0,0,0,0,0,46,"4154.0","0.0","4154.0","0.0",0,5,3,"60.0",2,1,1,1,1,"Hovedetasje","Kjøkken",3,"Privat innlagt",1,"Offentlig kloakk",2022,"2022Q2",2022-06-01,"4601/123/518/40","4601","123","518","40",20767952,"Lyderhornslien 125","lyderhornslien",125,NA,"H0402","5178","Boligblokker",587349,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733198.37","-37191.09"
"1153",3825000,31,1991,4,"D",1,199.96,4,"Fritt salg","Blokkleilighet",1,"2888.4",1,0,0,0,0,0,0,4,"338.0","0.0","338.0","0.0",0,1,1,"86.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-11-17,"4601/25/383/5","4601","25","383","5",9515127,"Kirsten Flagstads vei 40 B","kirsten flagstads vei",40,"A","U0101","5146","Småhus",1309997,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6730961.61","-33621.67"
"1155",6450000,11,2011,5,"C",5,135.08,4,"Fritt salg","Rekkehus/kjede",1,"168.3",0,0,0,0,0,0,0,1,"128.0","0.0","128.0","1.0",0,1,1,"128.0",5,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-02-28,"4601/39/660/NA","4601","39","660","NA",25187164,"Vindharpevegen 46 A","vindharpevegen",46,"A","H0101","5237","Småhus",226033,"Rekkehus","Bolig","Bolig","6724311.4","-34608.42"
"1159",5700000,74,1948,1,"G",2,386.8,2,"Fritt salg","Blokkleilighet",1,"1788.8",1,0,0,0,0,0,0,6,"581.0","0.0","581.0","190.0",0,2,1,"98.0",4,1,1,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-22,"4601/166/1494/9","4601","166","1494","9",139748735,"Nystuveien 10","nystuveien",10,NA,"H0202","5019","Boligblokker",921238,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6733500.9","-30415.49"
"1161",5700000,74,1948,1,"G",2,386.8,2,"Fritt salg","Blokkleilighet",1,"1788.8",1,0,0,0,0,0,0,6,"581.0","0.0","581.0","190.0",0,1,2,"79.0",3,1,1,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-11-02,"4601/166/1494/6","4601","166","1494","6",139748735,"Nystuveien 10","nystuveien",10,NA,"H0202","5019","Boligblokker",1244336,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6733500.9","-30415.49"
"1167",2900000,28,1994,3,"E",1,183.33,4,"Fritt salg","Annet",1,"1548.8",0,0,0,0,0,0,0,12,"1733.0","0.0","1733.0","0.0",0,2,1,"76.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-01-11,"4601/44/805/10","4601","44","805","10",9529209,"Tranevegen 308","tranevegen",294,NA,"H0201","5238","Boligblokker",36309,"Rekkehus","Bolig","Bolig","6724492.26","-31746.58"
"1175",1100000,22,2000,4,"D",1,150.23,1,"Gave","Uoppgitt",1,"1355.4",0,0,0,0,0,0,0,33,"4322.0","0.0","4322.0","0.0",0,3,3,"95.0",3,1,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-12-12,"4601/12/355/10","4601","12","355","10",20739428,"Fantoftvegen 30","fantoftvegen",30,NA,"H0406","5072","Boligblokker",1409558,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6728655.96","-31092.15"
"1179",3550000,83,1939,1,"G",1,489.5,4,"Fritt salg","Blokkleilighet",1,"893.5",0,0,0,0,0,0,0,7,"495.0","0.0","495.0","156.0",0,2,1,"62.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-11-28,"4601/168/1022/3","4601","168","1022","3",139333659,"Jægermyren 15","jægermyren",15,NA,"H0301","5042","Boligblokker",1346328,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6737538.27","-32640.2"
"1182",4400000,12,2010,5,"C",5,131.71,1,"Fritt salg","Blokkleilighet",1,"621.9",0,0,0,0,0,0,0,16,"1434.0","0.0","1434.0","386.0",0,4,1,"56.0",3,2,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-07-29,"4601/158/848/11","4601","158","848","11",300068205,"Damsgårdsveien 43","damsgårdsveien",43,NA,"H0201","5058","Boligblokker",832326,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6732807.35","-32051.68"
"1185",4990000,15,2007,5,"C",1,156.54,1,"Fritt salg","Blokkleilighet",2,"1132.1",0,0,0,0,0,0,0,4,"417.0","0.0","417.0","1.0",0,1,1,"146.0",4,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-01-02,"4601/50/255/4","4601","50","255","4",23650975,"Kirkebirkeland 69 C","kirkebirkeland",69,"A","U0101","5227","Småhus",1068,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6724138.96","-30423.73"
"1192",2945000,21,2001,2,"F",1,288.21,4,"Fritt salg","Blokkleilighet",1,"12408.8",1,0,0,0,0,0,0,12,"1032.0","0.0","1032.0","540.0",0,1,1,"80.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-09,"4601/6/253/20","4601","6","253","20",20766700,"Bakkedalen 36 B","bakkedalen",32,"A","H0201","5225","Småhus",495416,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6728371.25","-28987.44"
"1198",2700000,14,2008,5,"C",1,144.95,1,"Fritt salg","Blokkleilighet",1,"9509.1",1,0,0,0,0,0,0,29,"2178.0","0.0","2178.0","0.0",0,2,6,"42.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-03-01,"4601/26/334/8","4601","26","334","8",25176162,"Helgeplasset 9","helgeplasset",9,NA,"H0306","5148","Boligblokker",231522,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6730193.35","-33618.51"
"1199",3920000,19,2003,6,"B",3,131.35,4,"Fritt salg","Blokkleilighet",1,"1282.9",0,0,0,0,0,0,0,4,"422.0","0.0","422.0","0.0",0,1,1,"121.0",5,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-10-24,"4624/8/482/4","4624","8","482","4",21714208,"Eikhaugvegen 48 D","eikhaugvegen",48,"D","H0101","5212","Småhus",1198535,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6716413.29","-27156.29"
"1201",5250000,37,1985,2,"F",2,290.21,4,"Fritt salg","Rekkehus/kjede",1,"168.5",0,0,0,0,0,0,0,1,"113.0","0.0","113.0","0.0",0,1,1,"113.0",4,1,2,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q3",2022-08-16,"4601/20/1118/NA","4601","20","1118","NA",139870948,"Tjørnhaugen 195","tjørnhaugen",195,NA,"H0101","5154","Småhus",895417,"Rekkehus","Bolig","Bolig","6728039.06","-34172.86"
"1202",6250000,17,2005,4,"D",1,172.49,4,"Fritt salg","Blokkleilighet",1,"221.1",0,0,0,0,1,0,0,5,"360.0","0.0","360.0","138.0",0,3,1,"98.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-19,"4601/167/1458/5","4601","167","1458","5",20771909,"Wesenbergsmauet 2 A","wesenbergsmauet",2,"A","H0101","5003","Boligblokker",1042912,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6734995.34","-31842.97"
"1211",6550000,33,1989,3,"E",2,214.73,4,"Fritt salg","Tomannsbolig",1,"4559.9",1,0,0,0,0,0,0,1,"190.0","0.0","190.0","0.0",0,1,1,"195.0",6,2,3,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-01-17,"4601/18/86/13","4601","18","86","13",139869494,"Fredlundbakken 28","fredlundbakken",28,NA,"H0101","5073","Småhus",58599,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6730338.36","-31776.6"
"1222",4800000,19,2003,5,"C",2,152.48,4,"Fritt salg","Annet",1,"1936.9",0,0,0,0,0,0,0,4,"478.0","0.0","478.0","0.0",0,2,1,"134.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-03-01,"4601/46/124/2","4601","46","124","2",20779594,"Midtlia 6 B","midtlia",6,"C","H0201","5223","Småhus",234013,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6725115.95","-30663.86"
"1227",2e+06,68,1954,1,"G",2,363.31,4,"Fritt salg","Blokkleilighet",1,"840.8",0,0,0,0,0,0,0,4,"461.0","0.0","461.0","150.0",0,1,2,"63.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-10-27,"4601/216/372/2","4601","216","372","2",139702107,"Lyngveien 33","lyngveien",33,NA,"H0201","5101","Småhus",1217363,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6739980.55","-33210.81"
"1230",2900000,15,2007,4,"D",1,211.34,4,"Fritt salg","Blokkleilighet",1,"716.6",0,0,0,0,0,0,0,8,"568.0","0.0","568.0","340.0",0,1,1,"73.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2022,"2022Q3",2022-07-01,"4627/17/543/7","4627","17","543","7",23004089,"Kollevågtjørna 10 C","kollevågtjørna",10,"G","U0101","5310","Småhus",724336,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6742067.83","-41589.75"
"1232",4300000,15,2007,5,"C",5,123.53,1,"Fritt salg","Blokkleilighet",1,"8711.3",1,0,0,0,0,0,0,25,"2853.0","0.0","2853.0","0.0",0,2,4,"85.0",2,1,1,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q2",2022-06-23,"4601/120/436/29","4601","120","436","29",23593661,"Kvernslåttvegen 9","kvernslåttvegen",9,NA,"H0302","5237","Boligblokker",683119,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724086.47","-34180.07"
"1237",4500000,15,2007,5,"C",5,123.53,1,"Fritt salg","Blokkleilighet",1,"8711.3",1,0,0,0,0,0,0,25,"2853.0","0.0","2853.0","0.0",0,3,3,"87.0",3,1,1,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q1",2022-03-30,"4601/120/436/39","4601","120","436","39",23593661,"Kvernslåttvegen 9","kvernslåttvegen",7,NA,"H0302","5237","Boligblokker",352247,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724086.47","-34180.07"
"1255",2700000,17,2005,5,"C",1,138.74,1,"Fritt salg","Blokkleilighet",1,"469.6",0,0,0,0,1,0,0,14,"1303.0","0.0","1303.0","0.0",0,1,1,"37.0",2,1,1,1,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-01,"4601/167/555/1","4601","167","555","1",20773170,"Nye Sandviksveien 52","nye sandviksveien",52,NA,"H0203","5032","Boligblokker",840305,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735342.06","-31885.42"
"1261",2990000,17,2005,5,"C",1,138.74,1,"Fritt salg","Blokkleilighet",1,"469.6",0,0,0,0,1,0,0,14,"1303.0","0.0","1303.0","0.0",0,2,3,"55.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-07-22,"4601/167/555/8","4601","167","555","8",20773170,"Nye Sandviksveien 52","nye sandviksveien",52,NA,"H0203","5032","Boligblokker",814675,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735342.06","-31885.42"
"1270",3e+06,12,2010,6,"B",1,137.67,4,"Fritt salg","Blokkleilighet",1,"940.3",0,0,0,0,0,0,0,4,"224.0","0.0","224.0","230.0",0,1,1,"55.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-12,"4601/146/314/2","4601","146","314","2",300061292,"Wallemsskogen 3 A","wallemsskogen",3,"B","H0101","5165","Småhus",1012797,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6734185.65","-35312.55"
"1279",6800000,132,1890,1,"G",1,415.69,4,"Fritt salg","Blokkleilighet",1,"126.9",0,0,0,0,0,0,0,6,"337.0","0.0","337.0","115.0",1,3,1,"64.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-07,"4601/167/267/6","4601","167","267","6",139311809,"Gjeble Pederssøns gate 3","gjeble pederssøns gate",3,NA,"H0101","5034","Boligblokker",606484,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6735320.07","-31596.8"
"1281",2570000,132,1890,1,"G",1,415.69,4,"Fritt salg","Blokkleilighet",1,"126.9",0,0,0,0,0,0,0,6,"337.0","0.0","337.0","115.0",1,1,1,"35.0",2,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-04-19,"4601/167/267/1","4601","167","267","1",139311809,"Gjeble Pederssøns gate 3","gjeble pederssøns gate",3,NA,"H0101","5034","Boligblokker",414853,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6735320.07","-31596.8"
